Index,0 [FLOAT] [0x0],1 [FLOAT] [0x4],2 [FLOAT] [0x8],3 [FLOAT] [0xC],4 [USHORT] [0x18],5 [USHORT] [0x1A],6 [USHORT] [0x1C],7 [USHORT] [0x1E],8 [USHORT] [0x20],9 [USHORT] [0x22],10 [USHORT] [0x24],11 [USHORT] [0x26],12 [FLOAT] [0x10],13 [FLOAT] [0x14],14 [USHORT] [0x28],15 [UBYTE] [0x2A],16 [BBOOL] [0x2C],17 [UBYTE] [0x2B]
0,0.5,1.0,1.0,1.0,240,600,66,300,66,300,0,0,3.0,3.0,0,0,false,0
1,1.2,2.5,1.0,1.0,200,500,66,143,66,143,0,0,3.0,3.0,0,0,false,1
2,0.3,0.3,0.7,0.5,120,370,66,167,66,135,0,0,3.0,3.0,0,0,false,1
3,0.3,1.0,0.75,0.5,200,400,66,67,66,83,0,0,3.0,3.0,0,0,false,1
4,0.7,0.6,0.8,0.8,150,450,66,111,66,93,0,0,3.0,3.0,0,0,false,1
5,1.6,4.3,1.5,1.3,200,500,66,200,66,200,0,0,3.0,3.0,0,0,false,1
6,0.4,0.7,0.7,0.3,100,400,66,200,66,125,0,0,3.0,3.0,0,0,false,1
7,0.6,1.1,0.8,1.0,250,550,100,100,100,100,110,150,8.0,3.0,0,1,false,1
8,2.0,1.9,1.8,1.5,200,600,66,111,66,93,0,0,3.0,3.0,0,1,false,1
9,0.4,1.3,0.8,0.8,200,450,66,100,66,111,0,0,3.0,3.0,0,0,false,1
10,0.4,0.7,0.7,0.5,200,400,66,200,66,250,0,0,3.0,3.0,0,0,false,1
11,0.6,1.6,0.9,1.0,200,500,100,100,100,100,20,60,8.0,3.0,0,1,true,1
12,0.6,0.4,1.0,1.0,200,600,100,100,100,100,120,150,8.0,3.0,0,1,true,1
13,0.3,0.2,0.6,0.2,150,400,66,67,66,100,0,0,3.0,3.0,0,0,false,1
14,0.4,0.8,0.7,1.0,200,450,100,100,100,100,130,170,8.0,3.0,0,1,true,1
15,1.3,1.9,1.3,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
16,0.3,0.8,0.7,1.0,250,550,100,100,100,100,120,150,8.0,3.0,0,1,false,1
17,2.1,2.3,1.5,2.0,250,800,66,100,66,78,0,0,3.0,3.0,0,1,false,1
18,1.3,2.9,1.8,1.5,200,500,66,100,66,100,0,0,3.0,3.0,0,0,true,2
19,1.3,2.0,1.0,0.5,500,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
20,0.2,0.3,0.7,1.0,200,500,100,100,100,100,150,190,2.0,3.0,0,1,true,1
21,1.1,2.8,1.8,1.5,200,600,66,100,66,83,0,0,3.0,3.0,0,0,false,2
22,0.5,1.0,0.7,0.6,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
23,5.0,5.5,4.0,4.0,200,500,66,300,66,143,0,0,3.0,3.0,80,1,false,2
24,1.4,1.5,1.4,1.5,200,800,66,125,66,78,0,0,3.0,3.0,0,0,false,1
25,0.2,0.3,0.6,1.0,200,500,100,100,100,100,130,170,8.0,3.0,0,1,true,1
26,0.3,0.4,0.6,1.0,300,600,100,100,100,100,130,170,8.0,3.0,0,1,true,1
27,3.0,4.4,2.5,2.0,200,500,66,200,66,200,0,0,3.0,3.0,0,0,false,2
28,0.3,0.8,0.6,0.5,250,550,66,80,66,91,0,0,3.0,3.0,0,0,false,1
29,1.0,2.0,1.3,0.5,300,600,66,67,66,83,0,0,3.0,3.0,0,0,false,1
30,2.4,2.6,2.2,2.0,250,550,66,160,66,182,0,0,3.0,3.0,0,1,false,1
31,0.4,1.7,1.0,1.0,200,500,67,67,67,67,0,0,3.0,3.0,0,0,false,1
32,0.5,0.7,0.7,0.5,150,400,66,167,66,156,0,0,3.0,3.0,0,0,false,1
33,1.1,1.2,1.0,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
34,2.2,3.2,2.5,1.7,200,550,66,100,66,91,0,0,3.0,3.0,0,0,false,2
35,4.0,4.6,4.5,3.0,300,600,66,133,66,167,0,0,3.0,3.0,0,1,false,2
36,0.4,1.0,0.4,0.7,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
37,3.5,4.5,2.7,1.0,200,500,66,143,66,143,0,0,3.0,3.0,0,1,false,2
38,2.0,1.5,1.6,1.0,200,500,66,125,66,125,0,0,3.0,3.0,0,0,false,1
39,2.7,1.5,2.2,2.0,200,450,66,125,66,139,0,0,3.0,3.0,0,0,false,1
40,2.0,2.9,2.1,2.0,200,500,66,167,66,167,0,0,3.0,3.0,0,0,false,2
41,1.1,1.2,1.0,1.0,200,600,66,167,66,139,0,0,3.0,3.0,0,0,false,1
42,5.8,3.5,4.7,3.0,200,500,66,200,66,200,0,0,3.0,3.0,0,0,false,2
43,0.9,1.0,1.0,1.0,200,600,100,100,100,100,40,80,3.0,3.0,90,1,false,1
44,0.9,1.3,0.9,1.2,170,470,66,78,66,71,0,0,3.0,3.0,0,0,false,1
45,1.1,1.1,0.8,0.5,200,500,66,200,66,200,0,0,3.0,3.0,0,0,false,1
46,1.8,1.3,1.5,1.5,300,600,66,167,66,83,0,0,3.0,3.0,0,0,false,1
47,1.6,1.6,1.6,1.2,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
48,3.5,1.0,3.0,2.0,200,500,66,300,66,300,0,0,3.0,3.0,0,1,false,1
49,1.3,2.9,2.1,2.0,240,550,66,104,66,114,0,0,3.0,3.0,0,0,false,2
50,0.5,1.0,0.7,0.6,200,350,66,100,66,143,0,0,3.0,3.0,0,0,false,1
51,1.5,1.0,1.6,1.0,250,550,66,114,66,130,0,0,3.0,3.0,0,0,false,1
52,1.5,1.0,1.6,1.0,200,500,100,100,100,100,0,0,3.0,3.0,0,0,false,1
53,3.7,5.3,3.0,3.0,200,700,66,100,66,71,0,0,3.0,3.0,0,1,false,2
54,1.9,3.2,2.4,1.0,250,550,66,80,66,91,0,0,3.0,3.0,0,1,false,1
55,1.2,1.6,1.2,1.2,100,500,66,300,66,200,0,0,3.0,3.0,0,0,false,1
