Index,0 [STRING] [0x0],1 [UBYTE] [0x4],2 [BBOOL] [0x5],3 [BBOOL] [0x5],4 [BBOOL] [0x5]
0,"",0,false,false,false
1,"cbna_add_dmg_f",4,false,false,false
2,"cbnm_01b_lp0",0,true,false,false
3,"cbnm_01f_lp0",0,true,false,false
4,"cbnm_01l_lp0",0,true,false,false
5,"cbnm_01r_lp0",0,true,false,false
6,"cbnm_02f_f",8,false,false,false
7,"cbnm_02f_lp0",9,true,false,false
8,"cbnm_02l_lp0",12,true,false,false
9,"cbnm_02r_lp0",12,true,false,false
10,"cbnm_aettch_2lp",0,true,false,false
11,"cbnm_aettch_3",20,false,false,false
12,"cbnm_drink",20,false,false,false
13,"cbnm_eat",20,false,false,false
14,"cbnm_event_2lp",0,true,false,false
15,"cbnm_event_3",20,false,false,false
16,"cbnm_id0",7,true,false,false
17,"cbnm_itm_2lp",0,true,false,false
18,"cbnm_itm_3",20,false,false,false
19,"cbnm_jump_1",14,false,false,false
20,"cbnm_jump_2",15,false,false,false
21,"cbnm_jump_3",16,false,false,false
22,"cbnm_mgc_cmn_2lp",0,true,false,false
23,"cbnm_mgc_cmn_3",20,false,false,false
24,"cbnm_revive",5,false,false,false
25,"cbnm_sprint_lp0",32,true,false,false
26,"cbnm_trn_l_lp",0,true,false,false
27,"cbnm_trn_r_lp",0,true,false,false
28,"cbna_add_brt_lp",3,true,false,false
29,"cbnm_mt_02f_lp0",23,true,false,false
30,"cbnm_mt_id0",22,true,false,false
31,"cbbm_abl_2lp",0,true,false,false
32,"cbbm_abl_3",20,false,false,false
33,"cbbm_abl_bene",20,false,false,false
34,"cbbm_abl_conv",20,false,false,false
35,"cbbm_abl_crusade",20,false,false,false
36,"cbbm_abl_divin",20,false,false,false
37,"cbbm_abl_excruciate",20,false,false,false
38,"cbbm_abl_guren",20,false,false,false
39,"cbbm_abl_hagane",20,false,false,false
40,"cbbm_abl_illusive",20,false,false,false
41,"cbbm_abl_invi",20,false,false,false
42,"cbbm_abl_kabau",20,false,false,false
43,"cbbm_abl_keenflurry",20,false,false,false
44,"cbbm_abl_kong",20,false,false,false
45,"cbbm_abl_kumei",20,false,false,false
46,"cbbm_abl_midare",20,false,false,false
47,"cbbm_abl_mosa",20,false,false,false
48,"cbbm_abl_naita",20,false,false,false
49,"cbbm_abl_rampart",20,false,false,false
50,"cbbm_abl_ryuken",20,false,false,false
51,"cbbm_abl_ryusou",20,false,false,false
52,"cbbm_abl_seijya",20,false,false,false
53,"cbbm_abl_sinsoku",20,false,false,false
54,"cbbm_abl_sipu",20,false,false,false
55,"cbbm_abl_sutemi",20,false,false,false
56,"cbbm_abl_syukufuku",20,false,false,false
57,"cbbm_abl_taim",20,false,false,false
58,"cbbm_abl_taunt",20,false,false,false
59,"cbbm_abl_zanei",20,false,false,false
60,"cbbm_ded",20,false,false,false
61,"cbbm_dedpose",20,true,false,false
62,"cbbm_ft_ded_1",20,false,false,false
63,"cbbm_ft_ded_2lp",20,true,false,false
64,"cbbm_ft_ded_3",20,false,false,false
65,"cbbm_itm_2lp",0,true,false,false
66,"cbbm_itm_3",20,false,false,false
67,"cbbm_lbk_party",20,false,false,false
68,"cbbm_mgc_blk_2lp",0,true,false,false
69,"cbbm_mgc_blk_3",20,false,false,false
70,"cbbm_mgc_cnj_2lp",0,true,false,false
71,"cbbm_mgc_cnj_3",20,false,false,false
72,"cbbm_mgc_cnj_3b",20,false,false,false
73,"cbbm_mgc_cnj_3c",20,false,false,false
74,"cbbm_mgc_pld_2lp",0,true,false,false
75,"cbbm_mgc_pld_3",20,false,false,false
76,"cbbm_mgc_sng_2lp",0,true,false,false
77,"cbbm_mgc_sng_3",20,false,false,false
78,"cbbm_mgc_swd_2lp",0,true,false,false
79,"cbbm_mgc_swd_3",20,false,false,false
80,"cbbm_mgc_swl_2lp",0,true,false,false
81,"cbbm_mgc_swl_3",20,false,false,false
82,"cbbm_mgc_thm_2lp",0,true,false,false
83,"cbbm_mgc_thm_3",20,false,false,false
84,"cbbm_mgc_thm_3b",20,false,false,false
85,"cbbm_mgc_thm_3c",20,false,false,false
86,"cbbm_mgc_wht_2lp",0,true,false,false
