Index,0 [UBYTE] [0xC],1 [QUAD] [0x0],2 [INT] [0x8],3 [BBOOL] [0xE],4 [UBYTE] [0xD]
0,0,"0, 0, 0, 0",0,false,0
1,0,"0, 0, 0, 0",65536,false,0
2,0,"15, 0, 0, 0",1118044160,true,0
3,0,"15, 0, 0, 0",1200160768,true,0
4,0,"15, 0, 0, 0",1175191552,true,0
5,0,"0, 0, 0, 0",393216,false,0
6,0,"0, 0, 0, 0",589824,false,0
7,0,"0, 0, 0, 0",655360,false,0
8,0,"0, 0, 0, 0",1179648,false,0
9,0,"0, 0, 0, 0",73072640,true,188
10,0,"0, 0, 0, 0",1441792,false,0
11,0,"0, 0, 0, 0",983040,false,0
12,1,"0, 0, 0, 0",59179008,true,115
13,1,"0, 0, 0, 0",92602368,true,109
14,0,"0, 0, 0, 0",393216,false,0
15,0,"0, 0, 0, 0",133234688,true,0
16,0,"0, 0, 0, 0",589824,false,0
17,0,"0, 0, 0, 0",393216,false,0
18,0,"0, 0, 0, 0",1900544,false,0
19,0,"0, 0, 0, 0",151060480,true,0
20,0,"0, 0, 0, 0",2031616,false,0
21,0,"0, 0, 0, 0",0,false,0
22,1,"0, 0, 0, 0",90439680,true,47
23,1,"0, 0, 0, 0",109838336,true,48
24,0,"0, 0, 0, 0",23003136,true,65
25,0,"0, 0, 0, 0",33161216,true,155
26,0,"0, 0, 0, 0",62259200,true,198
27,2,"0, 0, 0, 0",79233024,true,46
28,0,"0, 0, 0, 0",64684032,true,71
29,0,"0, 0, 0, 0",22085632,true,100
30,0,"0, 0, 0, 0",66256896,true,180
31,0,"0, 0, 0, 0",45940736,true,23
32,0,"0, 0, 0, 0",56033280,true,18
33,0,"0, 0, 0, 0",67698688,true,34
34,1,"0, 0, 0, 0",74973184,true,224
35,0,"0, 0, 0, 0",93519872,true,254
36,0,"0, 0, 0, 0",2883584,false,0
37,0,"0, 0, 0, 0",2883584,false,0
38,2,"0, 0, 0, 0",61669376,true,128
39,0,"0, 0, 0, 0",180617216,true,0
40,0,"0, 0, 0, 0",128647168,true,16
41,0,"0, 0, 0, 0",3014656,false,0
42,0,"0, 0, 0, 0",179765248,true,0
43,0,"0, 0, 0, 0",182910976,true,0
44,0,"0, 0, 0, 0",185008128,true,0
45,0,"0, 0, 0, 0",196608000,true,0
46,0,"0, 0, 0, 0",205520896,true,0
47,0,"0, 0, 0, 0",164495360,true,16
48,0,"0, 0, 0, 0",3014656,false,0
49,0,"0, 0, 0, 0",206307328,true,0
50,2,"0, 0, 0, 0",144572416,true,223
51,0,"0, 0, 0, 0",197656576,true,0
52,0,"0, 0, 0, 0",197197824,true,0
53,0,"0, 0, 0, 0",197984256,true,0
54,0,"0, 0, 0, 0",198639616,true,0
55,0,"0, 0, 0, 0",198246400,true,0
56,0,"0, 0, 0, 0",199229440,true,0
57,0,"0, 0, 0, 0",198901760,true,0
58,7,"0, 0, 0, 0",220135424,true,68
59,0,"0, 0, 0, 0",221577216,true,0
60,3,"0, 0, 0, 0",190251008,true,65
61,0,"0, 0, 0, 0",215613440,true,0
62,0,"0, 0, 0, 0",216006656,true,0
63,0,"0, 0, 0, 0",216596480,true,0
64,0,"0, 0, 0, 0",222625792,true,0
65,0,"0, 0, 0, 0",3801088,false,0
66,0,"0, 0, 0, 0",3801088,false,0
67,0,"0, 0, 0, 0",215220224,true,0
68,1,"0, 0, 0, 0",204275712,true,5
69,0,"0, 0, 0, 0",213516288,true,0
70,0,"0, 0, 0, 0",228327424,true,0
71,0,"0, 0, 0, 0",234881024,true,0
72,0,"0, 0, 0, 0",228589568,true,0
73,0,"0, 0, 0, 0",234618880,true,0
74,0,"0, 0, 0, 0",228851712,true,0
75,0,"0, 0, 0, 0",234225664,true,0
