Index,0 [SHORT] [0x4],1 [SHORT] [0x6],2 [SHORT] [0x8],3 [USHORT] [0x0],4 [USHORT] [0x2]
0,1,46,10,542,54
1,1,46,10,542,54
2,1,46,10,542,54
3,1,46,10,542,54
4,1,46,10,542,54
5,1,46,10,542,54
6,1,13,13,47,547
7,1,13,13,47,547
8,1,13,13,47,547
9,1,13,13,47,547
10,1,46,10,542,54
11,1,-1,-1,0,0
12,1,-1,-1,0,0
13,1,-1,-1,0,0
14,0,-1,-1,0,0
15,0,-1,-1,0,0
16,0,-1,-1,0,0
17,0,-1,-1,0,0
18,0,-1,-1,0,0
19,0,-1,-1,0,0
20,0,-1,-1,0,0
21,0,0,0,176,36
22,0,-1,-1,0,0
23,0,-1,-1,0,0
24,0,-1,-1,0,0
25,0,-1,-1,0,0
26,0,-1,-1,0,0
27,0,-1,-1,0,0
28,0,0,0,400,80
29,0,0,0,400,80
30,0,0,0,400,80
31,0,-1,-1,0,0
32,0,-1,-1,0,0
33,0,-1,-1,0,0
34,0,-1,-1,0,0
35,0,-1,-1,0,0
36,0,-1,-1,0,0
37,0,-1,-1,0,0
38,1,-1,-1,0,0
39,0,-1,-1,0,0
40,0,-1,-1,0,0
41,0,-1,-1,0,0
42,0,-1,-1,0,0
43,0,-1,-1,0,0
44,0,-1,-1,0,0
45,0,-1,-1,0,0
46,0,-1,-1,0,0
47,0,-1,-1,0,0
48,0,-1,-1,0,0
49,0,-1,-1,0,0
50,0,-1,-1,0,0
51,0,-1,-1,0,0
52,0,-1,-1,0,0
53,0,-1,-1,0,0
54,0,-1,-1,0,0
55,0,-1,-1,0,0
56,0,-1,-1,0,0
57,0,-1,-1,0,0
58,0,-1,-1,0,0
59,0,-1,-1,0,0
