Index,0 [UBYTE] [0x20],1 [UBYTE] [0x21],2 [UINT] [0x0],3 [UINT] [0x4],4 [INT] [0x8],5 [INT] [0xC],6 [INT] [0x10],7 [INT] [0x14],8 [INT] [0x18],9 [INT] [0x1C],10 [UBYTE] [0x22]
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,10000,2000,65001,65051,65101,0,0,0,0
2,1,2,15000,3000,65002,65052,65102,0,0,0,0
3,1,3,20000,4000,65003,65053,65103,0,0,0,0
4,1,4,25000,5000,65004,65054,65104,0,0,0,0
5,2,5,30000,6000,65005,65055,65105,0,0,0,1
6,2,6,35000,7000,65006,65056,65106,0,0,0,0
7,2,7,40000,8000,65007,65057,65107,0,0,0,0
8,2,8,45000,9000,65008,65058,65108,66664,66665,66666,0
9,3,9,50000,10000,65009,65059,65109,66667,66668,66669,2
10,3,10,55000,10,65010,65060,65110,0,0,0,0
11,3,11,60000,10,65011,65061,65111,0,0,0,0
12,4,12,65000,10,65012,65062,65112,0,0,0,0
13,4,13,70000,10,65013,65063,65113,0,0,0,0
14,4,14,75000,10,65014,65064,65114,0,0,0,0
15,5,15,80000,10,65015,65065,65115,0,0,0,0
16,5,16,85000,10,65016,65066,65116,0,0,0,0
17,5,17,90000,10,65017,65067,65117,0,0,0,0
18,5,18,95000,10,65018,65068,65118,0,0,0,0
19,6,19,100000,10,65019,65069,65119,0,0,0,0
