Index,0 [UBYTE] [0x6],1 [UBYTE] [0x7],2 [USHORT] [0x4],3 [UBYTE] [0x8],4 [STRING] [0x0]
0,0,0,0,254,""
1,1,4,22,254,""
2,1,4,23,254,""
3,1,4,24,254,""
4,1,4,21,254,""
5,2,4,22,254,""
6,2,4,23,254,""
7,2,4,24,254,""
8,2,4,21,254,""
9,3,4,22,254,""
10,3,4,23,254,""
11,3,4,24,254,""
12,3,4,21,254,""
13,4,4,21,254,""
14,5,4,21,254,""
15,6,4,21,254,""
513,1,1,22,0,"bg/ffxiv/sea_s1/hou/dyna/s_rof/0001/asset/s1h0_s_rof0001.sgb"
514,1,1,22,1,"bg/ffxiv/sea_s1/hou/dyna/m_rof/0001/asset/s1h0_m_rof0001.sgb"
515,1,1,22,2,"bg/ffxiv/sea_s1/hou/dyna/l_rof/0001/asset/s1h0_l_rof0001.sgb"
516,1,1,23,0,"bg/ffxiv/fst_f1/hou/dyna/s_rof/0001/asset/f1h0_s_rof0001.sgb"
517,1,1,23,1,"bg/ffxiv/fst_f1/hou/dyna/m_rof/0001/asset/f1h0_m_rof0001.sgb"
518,1,1,23,2,"bg/ffxiv/fst_f1/hou/dyna/l_rof/0001/asset/f1h0_l_rof0001.sgb"
519,1,1,24,0,"bg/ffxiv/wil_w1/hou/dyna/s_rof/0001/asset/w1h0_s_rof0001.sgb"
520,1,1,24,1,"bg/ffxiv/wil_w1/hou/dyna/m_rof/0001/asset/w1h0_m_rof0001.sgb"
521,1,1,24,2,"bg/ffxiv/wil_w1/hou/dyna/l_rof/0001/asset/w1h0_l_rof0001.sgb"
522,1,1,21,0,""
523,1,1,21,1,""
524,1,1,21,2,""
525,2,1,22,0,"bg/ffxiv/sea_s1/hou/dyna/s_rof/0002/asset/s1h0_s_rof0002.sgb"
526,2,1,22,1,"bg/ffxiv/sea_s1/hou/dyna/m_rof/0002/asset/s1h0_m_rof0002.sgb"
527,2,1,22,2,"bg/ffxiv/sea_s1/hou/dyna/l_rof/0002/asset/s1h0_l_rof0002.sgb"
528,2,1,23,0,"bg/ffxiv/fst_f1/hou/dyna/s_rof/0002/asset/f1h0_s_rof0002.sgb"
529,2,1,23,1,"bg/ffxiv/fst_f1/hou/dyna/m_rof/0002/asset/f1h0_m_rof0002.sgb"
530,2,1,23,2,"bg/ffxiv/fst_f1/hou/dyna/l_rof/0002/asset/f1h0_l_rof0002.sgb"
531,2,1,24,0,"bg/ffxiv/wil_w1/hou/dyna/s_rof/0002/asset/w1h0_s_rof0002.sgb"
532,2,1,24,1,"bg/ffxiv/wil_w1/hou/dyna/m_rof/0002/asset/w1h0_m_rof0002.sgb"
533,2,1,24,2,"bg/ffxiv/wil_w1/hou/dyna/l_rof/0002/asset/w1h0_l_rof0002.sgb"
534,2,1,21,0,""
535,2,1,21,1,""
536,2,1,21,2,""
537,3,1,22,0,"bg/ffxiv/sea_s1/hou/dyna/s_rof/0003/asset/s1h0_s_rof0003.sgb"
538,3,1,22,1,"bg/ffxiv/sea_s1/hou/dyna/m_rof/0003/asset/s1h0_m_rof0003.sgb"
539,3,1,22,2,"bg/ffxiv/sea_s1/hou/dyna/l_rof/0003/asset/s1h0_l_rof0003.sgb"
540,3,1,23,0,"bg/ffxiv/fst_f1/hou/dyna/s_rof/0003/asset/f1h0_s_rof0003.sgb"
541,3,1,23,1,"bg/ffxiv/fst_f1/hou/dyna/m_rof/0003/asset/f1h0_m_rof0003.sgb"
542,3,1,23,2,"bg/ffxiv/fst_f1/hou/dyna/l_rof/0003/asset/f1h0_l_rof0003.sgb"
543,3,1,24,0,"bg/ffxiv/wil_w1/hou/dyna/s_rof/0003/asset/w1h0_s_rof0003.sgb"
544,3,1,24,1,"bg/ffxiv/wil_w1/hou/dyna/m_rof/0003/asset/w1h0_m_rof0003.sgb"
545,3,1,24,2,"bg/ffxiv/wil_w1/hou/dyna/l_rof/0003/asset/w1h0_l_rof0003.sgb"
546,3,1,21,0,""
547,3,1,21,1,""
548,3,1,21,2,""
549,4,1,21,0,""
550,4,1,21,1,""
551,4,1,21,2,""
552,5,1,21,0,""
553,5,1,21,1,""
554,5,1,21,2,""
555,6,1,21,0,""
556,6,1,21,1,""
557,6,1,21,2,""
1025,1,5,21,254,""
1026,2,5,21,254,""
1027,3,5,21,254,""
1028,4,5,21,254,""
1029,5,5,21,254,""
1030,6,5,21,254,""
1031,7,5,21,254,""
1032,8,5,21,254,""
1033,9,5,21,254,""
1034,11,5,21,254,""
1035,12,5,21,254,""
1036,13,5,21,254,""
1037,14,5,21,254,""
1038,15,5,21,254,""
1039,16,5,21,254,""
1537,1,7,21,254,""
1538,2,7,21,254,""
1539,3,7,21,254,""
1540,4,7,21,254,""
1541,5,7,21,254,""
1542,6,7,21,254,""
1543,7,7,21,254,""
1544,8,7,21,254,""
1545,9,7,21,254,""
1546,11,7,21,254,""
1547,12,7,21,254,""
1548,13,7,21,254,""
1549,14,7,21,254,""
1550,15,7,21,254,""
1551,16,7,21,254,""
2049,1,3,22,254,""
2050,1,3,23,254,""
2051,1,3,24,254,""
2052,1,3,21,254,""
2053,2,3,22,254,""
2054,2,3,23,254,""
2055,2,3,24,254,""
2056,2,3,21,254,""
2057,3,3,22,254,""
2058,3,3,23,254,""
2059,3,3,24,254,""
2060,3,3,21,254,""
2061,4,3,21,254,""
2062,5,3,21,254,""
2063,6,3,21,254,""
2561,1,8,22,254,"bg/ffxiv/sea_s1/hou/dyna/c_fnc/0001/asset/s1h0_f_fnc0001a.sgb"
2562,1,8,23,254,"bg/ffxiv/fst_f1/hou/dyna/c_fnc/0001/asset/f1h0_f_fnc0001a.sgb"
2563,1,8,24,254,"bg/ffxiv/wil_w1/hou/dyna/c_fnc/0001/asset/w1h0_f_fnc0001a.sgb"
2564,1,8,21,254,""
