Index,0 [BBOOL] [0x1],1 [BBOOL] [0x1],2 [BBOOL] [0x1],3 [BBOOL] [0x1],4 [BBOOL] [0x1],5 [BBOOL] [0x1],6 [BBOOL] [0x1],7 [BBOOL] [0x1],8 [BBOOL] [0x2],9 [BBOOL] [0x2],10 [BBOOL] [0x2],11 [BBOOL] [0x2],12 [BBOOL] [0x2],13 [UBYTE] [0x0],14 [BBOOL] [0x2],15 [BBOOL] [0x2],16 [BBOOL] [0x2],17 [BBOOL] [0x3],18 [BBOOL] [0x3],19 [BBOOL] [0x3],20 [BBOOL] [0x3]
0,true,true,true,false,true,true,true,true,true,true,true,true,false,1,false,true,false,true,false,false,true
1,true,true,true,true,true,true,false,true,true,true,true,true,true,2,false,true,true,true,false,false,false
2,false,false,true,false,false,true,true,false,false,true,true,false,false,0,false,false,false,false,false,false,false
3,true,true,false,false,true,true,false,false,true,false,true,false,false,0,false,true,true,false,false,false,false
4,true,true,false,false,true,false,false,false,false,false,false,false,false,0,false,true,true,false,false,false,false
5,false,false,false,false,false,true,false,false,false,false,true,false,false,0,false,true,true,false,false,false,false
6,true,true,false,false,false,true,true,true,true,false,true,false,false,0,false,false,true,false,false,false,false
7,true,true,true,false,true,true,true,true,true,false,true,false,false,0,false,true,true,false,false,false,false
8,true,true,false,false,true,true,false,false,true,false,true,false,false,0,true,true,true,false,false,false,false
9,true,true,false,false,true,true,false,false,false,false,false,false,false,0,false,true,true,false,false,false,false
10,true,true,false,false,true,true,false,false,false,false,false,false,false,0,false,true,true,false,false,false,false
11,true,true,false,false,true,true,false,false,true,false,true,false,false,0,false,true,true,false,false,false,false
12,true,true,true,false,true,true,false,false,false,false,true,false,false,0,false,true,true,false,false,false,false
13,true,true,true,false,true,true,true,true,true,true,true,true,true,1,false,true,false,false,false,false,false
14,true,true,true,false,true,true,true,true,true,true,true,true,true,0,false,true,false,true,true,false,false
15,true,true,true,false,true,true,true,true,true,false,true,false,false,0,false,true,true,false,false,false,false
16,true,true,false,false,true,true,false,false,true,false,true,false,false,0,false,true,true,false,false,false,false
17,true,true,false,false,true,true,false,false,false,false,false,false,false,0,false,true,true,false,false,false,false
18,true,true,false,false,true,false,false,false,true,false,true,false,false,0,true,true,true,false,false,false,false
19,true,true,true,false,true,true,true,true,true,true,true,true,false,1,false,true,false,true,true,false,true
20,false,false,false,false,false,true,false,false,false,false,false,false,false,0,false,true,true,false,false,false,false
21,false,false,false,false,false,true,false,false,false,false,false,false,false,0,false,true,true,false,false,false,false
22,false,false,true,false,false,true,true,false,false,true,true,false,false,0,false,true,true,false,false,false,false
23,true,true,true,false,true,true,true,true,true,true,true,true,false,1,false,true,false,true,true,true,true
24,true,true,false,false,true,true,false,false,true,false,true,false,false,0,false,true,true,false,false,false,false
