Index,0 [INT] [0x0],1 [INT] [0x4]
0,0,0
1,60453,1230
2,60430,1231
3,60412,1232
4,60434,1233
5,60551,1234
6,60425,1235
7,60426,1236
8,60427,1237
9,60460,1238
10,60560,1239
11,60559,1240
12,60533,1241
13,60534,1242
14,60414,1243
15,60456,1244
16,60339,1245
17,60352,1246
18,60448,1247
19,60436,1248
20,60314,1249
21,60446,1250
22,60447,1251
23,60441,1252
24,60449,1253
25,60555,1254
26,60450,1255
27,60554,1256
28,60451,1257
29,60342,1258
30,60347,1259
31,60331,1260
32,60322,1261
33,60320,1262
34,60319,1263
35,60344,1264
36,60330,1265
37,60321,1266
38,60337,1267
39,60334,1268
40,60345,1269
41,60326,1270
42,60348,1271
43,60351,1272
44,60335,1273
45,60346,1274
46,60318,1275
47,60333,1276
48,60567,1277
49,60568,1278
50,60569,1279
51,60311,593
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
