Index,0 [UBYTE] [0xA],1 [BYTE] [0x10],2 [BYTE] [0x11],3 [UBYTE] [0xB],4 [USHORT] [0x8],5 [UBYTE] [0xC],6 [BOOL] [0x12],7 [UBYTE] [0xD],8 [BOOL] [0x13],9 [UBYTE] [0xE],10 [BOOL] [0x14],11 [FLOAT] [0x0],12 [UBYTE] [0xF],13 [INT] [0x4],14 [BBOOL] [0x15]
0,0,0,0,0,0,0,false,0,false,0,false,0.0,0,0,false
1,0,1,0,0,0,0,false,0,false,0,false,0.0,0,0,false
2,0,0,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
3,0,1,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
4,0,0,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
5,0,1,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
6,0,-1,-1,1,936,0,false,0,false,0,false,0.0,0,0,false
7,0,-1,-1,2,983,0,false,0,false,0,false,0.0,0,0,false
8,0,0,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
9,0,1,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
10,0,0,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
11,0,1,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
12,0,0,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
13,0,1,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
14,0,1,0,0,0,0,false,0,false,0,false,0.0,0,0,false
15,0,0,1,0,0,0,false,0,false,0,false,0.0,0,0,false
16,0,0,0,0,0,0,false,0,false,0,false,0.0,0,0,false
17,0,1,1,0,0,1,true,0,false,0,false,0.0,0,0,false
18,0,1,1,0,0,1,false,0,false,0,false,0.0,0,0,false
19,0,1,0,0,0,1,false,0,false,0,false,0.0,0,0,false
20,0,0,0,0,0,1,false,0,false,0,false,0.0,0,0,false
21,0,0,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
22,0,1,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
23,0,2,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
24,0,1,-1,4,210,0,false,0,false,0,false,0.0,0,0,false
25,0,1,-1,4,210,0,false,0,false,0,false,0.0,0,0,false
26,0,0,-1,0,0,1,true,2,true,3,true,0.0,0,0,false
27,0,0,-1,0,0,1,false,2,true,3,true,0.0,0,0,false
28,0,0,-1,0,0,1,false,2,false,3,true,0.0,0,0,false
29,0,0,-1,0,0,1,false,2,false,3,false,0.0,0,0,false
30,0,0,-1,0,0,1,true,2,true,3,true,0.0,0,0,false
31,0,0,-1,0,0,1,false,2,true,3,true,0.0,0,0,false
32,0,0,-1,0,0,1,false,2,false,3,true,0.0,0,0,false
33,0,0,-1,0,0,1,false,2,false,3,false,0.0,0,0,false
34,0,0,-1,0,0,1,true,0,false,0,false,0.0,0,0,false
35,0,0,-1,0,0,1,false,0,false,0,false,0.0,0,0,false
36,0,0,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
37,0,1,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
38,0,2,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
39,0,0,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
40,0,-1,-1,21,0,0,false,0,false,0,false,0.0,0,2550,true
41,0,0,-1,0,0,3,true,1,true,2,true,0.0,0,0,false
42,0,0,-1,0,0,3,false,1,true,2,true,0.0,0,0,false
43,0,0,-1,0,0,3,false,1,false,2,true,0.0,0,0,false
44,0,0,-1,0,0,3,false,1,false,2,false,0.0,0,0,false
45,0,0,-1,4,210,0,false,0,false,0,false,0.0,0,0,false
46,0,0,-1,4,210,0,false,0,false,0,false,0.0,0,0,false
47,0,0,-1,5,211,0,false,0,false,0,false,0.0,0,0,false
48,2,-1,-1,0,0,0,false,0,false,0,false,0.73,14,0,false
49,0,-1,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
50,0,-1,-1,0,0,0,false,0,false,0,false,2.0,8,0,false
51,0,-1,-1,0,0,0,false,0,false,0,false,3.0,10,0,false
52,0,-1,-1,0,0,0,false,0,false,0,false,4.0,11,0,false
53,0,1,-1,21,0,0,false,0,false,0,false,0.0,0,2550,true
54,0,2,-1,21,0,0,false,0,false,0,false,0.0,0,2550,true
55,0,0,-1,4,210,0,false,0,false,0,false,0.0,0,0,false
56,0,-1,-1,0,0,1,false,0,false,0,false,0.0,0,0,false
57,0,0,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
58,0,1,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
59,0,2,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
60,0,-1,-1,0,0,0,false,0,false,0,false,1.5,6,0,false
61,0,-1,-1,0,0,0,false,0,false,0,false,2.0,8,0,false
62,0,-1,-1,0,0,0,false,0,false,0,false,2.5,9,0,false
63,0,-1,-1,0,0,0,false,0,false,0,false,3.0,10,0,false
64,0,1,0,0,0,0,false,0,false,0,false,0.0,0,0,false
65,0,2,0,0,0,0,false,0,false,0,false,0.0,0,0,false
66,0,3,0,0,0,0,false,0,false,0,false,0.0,0,0,false
67,0,-1,-1,0,0,1,true,0,false,0,false,0.0,0,0,false
68,0,-1,-1,4,210,0,false,0,false,0,false,0.0,0,0,false
69,0,-1,-1,5,211,0,false,0,false,0,false,0.0,0,0,false
70,0,1,0,0,0,0,false,0,false,0,false,1.5,6,0,false
71,0,1,0,0,0,0,false,0,false,0,false,2.0,8,0,false
72,0,1,0,0,0,0,false,0,false,0,false,2.5,9,0,false
73,0,1,0,0,0,0,false,0,false,0,false,3.0,10,0,false
74,0,0,-1,0,0,3,false,1,false,2,false,0.0,0,0,false
75,0,1,-1,0,0,3,false,1,true,2,false,0.0,0,0,false
76,0,2,-1,0,0,3,false,1,false,2,true,0.0,0,0,false
77,0,-1,-1,0,0,1,false,0,false,0,false,0.0,0,0,false
78,1,-1,-1,0,0,0,false,0,false,0,false,1.25,5,0,false
79,1,-1,-1,0,0,0,false,0,false,0,false,1.5,6,0,false
80,1,-1,-1,0,0,0,false,0,false,0,false,1.75,7,0,false
81,1,-1,-1,0,0,0,false,0,false,0,false,2.7,15,0,false
82,0,1,0,8,3305,0,false,0,false,0,false,0.0,0,0,false
83,0,-1,-1,0,0,0,false,0,false,0,false,1.0,4,0,false
84,0,0,-1,4,210,1,true,2,false,3,false,0.0,0,0,false
85,0,0,-1,6,3604,1,false,2,true,3,false,0.0,0,0,false
86,0,0,-1,5,211,1,false,2,false,3,true,0.0,0,0,false
87,0,0,-1,0,0,1,false,2,false,3,false,0.0,0,0,false
88,0,0,1,0,0,0,false,0,false,0,false,0.0,0,0,false
89,0,1,0,4,210,0,false,0,false,0,false,0.0,0,0,false
90,0,-1,-1,11,34,0,false,0,false,0,false,0.0,0,0,false
91,0,0,-1,0,0,1,false,2,false,3,false,0.0,0,0,false
92,0,-1,-1,12,212,0,false,0,false,0,false,0.0,0,0,false
93,0,0,-1,0,0,1,true,2,true,3,true,0.0,0,0,false
94,0,0,-1,0,0,1,true,2,false,3,false,0.0,0,0,false
95,0,0,-1,0,0,1,false,2,false,3,true,0.0,0,0,false
96,0,0,-1,0,0,1,false,2,true,3,false,0.0,0,0,false
97,0,0,-1,0,0,1,true,2,true,3,false,0.0,0,0,false
98,0,0,-1,0,0,1,true,2,false,3,true,0.0,0,0,false
99,0,0,-1,0,0,1,false,2,true,3,true,0.0,0,0,false
100,0,0,-1,0,0,0,false,0,false,0,false,0.0,0,0,false
101,0,0,0,0,0,1,true,2,false,0,false,0.0,0,0,false
102,0,1,0,0,0,1,true,2,false,0,false,0.0,0,0,false
103,0,1,0,4,210,1,true,2,false,0,false,0.0,0,0,false
104,0,1,1,11,34,1,false,2,true,0,false,0.0,0,0,false
