Index,0 [USHORT] [0x4],1 [UBYTE] [0x6],2 [UBYTE] [0x7],3 [UINT] [0x0]
0,0,0,0,0
1,101,4,0,14071
2,101,4,1,14072
3,101,4,2,14073
4,101,4,3,14074
5,101,4,4,14075
6,101,4,5,14076
7,101,4,6,14077
8,101,4,7,14078
9,101,4,8,14079
10,102,4,0,16017
11,102,4,1,16018
12,102,4,2,16019
13,102,4,3,16020
14,102,4,4,16021
15,102,4,5,16022
16,102,4,6,16023
17,102,4,7,16024
18,102,4,8,16025
19,106,4,0,17048
20,106,4,1,17049
21,106,4,2,17050
22,106,4,3,17051
23,106,4,4,17052
24,106,4,5,17053
25,106,4,6,17054
26,106,4,7,17055
27,106,4,8,17056
28,0,0,0,0
1000,0,0,0,0
1001,1,0,0,16938
1002,2,0,0,16939
1003,3,0,0,16940
1004,4,0,0,16941
1005,5,0,0,16942
1006,6,0,0,16943
1007,7,0,0,16944
1008,8,0,0,16945
1009,9,0,0,16946
1010,10,0,0,16947
1011,11,0,0,16948
1012,12,0,0,16949
1013,13,0,0,16950
1014,14,0,0,16951
1015,15,0,0,16952
1016,16,0,0,16953
1017,17,0,0,16954
1018,18,0,0,16955
1019,19,0,0,16956
1020,20,0,0,16957
1021,21,0,0,17057
1022,22,0,0,17058
1023,23,0,0,17059
1024,24,0,0,17060
1025,25,0,0,17061
1026,26,0,0,17062
1027,27,0,0,17063
1028,28,0,0,17064
1029,29,0,0,17065
1030,30,0,0,17066
1031,31,0,0,17067
1032,32,0,0,17120
1033,33,0,0,17068
1034,34,0,0,17069
1035,35,0,0,17070
1036,36,0,0,17071
1037,37,0,0,17072
1038,38,0,0,17073
1039,39,0,0,17074
1040,40,0,0,17075
1041,41,0,0,17076
1042,42,0,0,17077
1043,43,0,0,17078
1044,44,0,0,17079
1045,45,0,0,17080
1046,46,0,0,17081
1047,47,0,0,17082
1048,48,0,0,17083
1049,49,0,0,17084
1050,50,0,0,17085
1051,51,0,0,17086
1052,52,0,0,17087
1053,53,0,0,17088
1054,54,0,0,17089
1055,55,0,0,17090
1056,56,0,0,17091
1057,57,0,0,17092
1058,58,0,0,17093
1059,59,0,0,17094
1060,60,0,0,17095
1061,61,0,0,17096
1062,62,0,0,17097
1063,63,0,0,17098
1064,64,0,0,17099
1065,65,0,0,17100
1066,66,0,0,17101
1067,67,0,0,17102
1068,68,0,0,17103
1069,69,0,0,17104
1070,70,0,0,17105
1071,71,0,0,17106
1072,72,0,0,17107
1073,73,0,0,17108
1074,74,0,0,17109
1075,75,0,0,17110
1076,76,0,0,17111
1077,77,0,0,17112
1078,78,0,0,17113
1079,79,0,0,17114
1080,80,0,0,17115
1081,1001,0,0,17116
1082,1002,0,0,17117
1083,1003,0,0,17118
1084,1004,0,0,17119
1085,1005,0,0,17136
1086,1006,0,0,17121
1087,1007,0,0,17122
1088,1008,0,0,17123
1089,1009,0,0,17124
1090,1010,0,0,17125
1091,1011,0,0,17126
1092,1012,0,0,17127
1093,1013,0,0,17128
1094,1014,0,0,17129
1095,1015,0,0,17130
1096,1016,0,0,17131
1097,1017,0,0,17132
1098,1018,0,0,17133
1099,1019,0,0,17134
1100,1020,0,0,17135
1101,0,0,0,0
