Index,0 [INT] [0x0],1 [USHORT] [0x24],2 [BOOL] [0x36],3 [INT] [0x4],4 [USHORT] [0x26],5 [BOOL] [0x37],6 [INT] [0x8],7 [USHORT] [0x28],8 [BOOL] [0x38],9 [INT] [0xC],10 [USHORT] [0x2A],11 [BOOL] [0x39],12 [INT] [0x10],13 [USHORT] [0x2C],14 [BOOL] [0x3A],15 [INT] [0x14],16 [USHORT] [0x2E],17 [BOOL] [0x3B],18 [INT] [0x18],19 [USHORT] [0x30],20 [BOOL] [0x3C],21 [INT] [0x1C],22 [USHORT] [0x32],23 [BOOL] [0x3D],24 [INT] [0x20],25 [USHORT] [0x34],26 [BOOL] [0x3E]
0,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
1,4,3,false,3,3,false,5380,2,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
2,4,7,false,3,7,false,5380,5,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
3,4,24,false,3,24,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
4,4,3,false,3,3,false,5380,2,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
5,4,8,false,3,8,false,5380,6,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
6,4,28,false,3,28,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
7,4,4,false,3,4,false,5383,3,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
8,4,10,false,3,10,false,5383,7,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
9,4,32,false,3,32,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
10,4,4,false,3,4,false,5385,3,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
11,4,11,false,3,11,false,5385,8,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
12,4,36,false,3,36,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
13,4,5,false,3,5,false,5386,4,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
14,4,12,false,3,12,false,5386,10,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
15,4,40,false,3,40,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
16,4,5,false,3,5,false,5388,4,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
17,4,13,false,3,13,false,5388,11,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
18,4,44,false,3,44,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
19,4,12,false,3,12,false,5390,5,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
20,4,30,false,3,30,false,5390,12,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
21,4,48,false,3,48,false,2224,1,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
22,4,12,false,3,12,false,5390,5,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
23,4,32,false,3,32,false,5390,13,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
24,4,52,false,3,52,false,2014,1,false,2237,1,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
25,4,14,false,3,14,false,5391,6,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
26,4,34,false,3,34,false,5391,15,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
27,4,56,false,3,56,false,2237,1,false,1840,1,false,1910,1,false,0,0,false,0,0,false,0,0,false,0,0,false
28,4,14,false,3,14,false,5393,6,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
29,4,36,false,3,36,false,5393,16,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
30,4,60,false,3,60,false,5568,1,false,5565,1,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
31,2,3,false,5,3,false,5107,2,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
32,2,7,false,5,7,false,5107,5,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
33,2,24,false,5,24,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
34,2,3,false,5,3,false,5106,2,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
35,2,8,false,5,8,false,5106,6,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
36,2,28,false,5,28,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
37,2,4,false,5,4,false,5106,3,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
38,2,10,false,5,10,false,5106,7,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
39,2,32,false,5,32,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
40,2,4,false,5,4,false,5111,3,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
41,2,11,false,5,11,false,5111,8,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
42,2,36,false,5,36,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
43,2,5,false,5,5,false,5111,4,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
44,2,12,false,5,12,false,5111,10,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
45,2,40,false,5,40,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
46,2,5,false,5,5,false,5528,4,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
47,2,13,false,5,13,false,5528,11,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
48,2,44,false,5,44,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
49,2,12,false,5,12,false,5528,5,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
50,2,30,false,5,30,false,5528,12,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
51,2,48,false,5,48,false,1606,1,false,1616,1,false,9196,1,false,0,0,false,0,0,false,0,0,false,0,0,false
52,2,12,false,5,12,false,5114,5,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
53,2,32,false,5,32,false,5114,13,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
54,2,52,false,5,52,false,1616,1,false,1613,1,false,9196,1,false,0,0,false,0,0,false,0,0,false,0,0,false
55,2,14,false,5,14,false,5114,6,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
56,2,34,false,5,34,false,5114,15,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
57,2,56,false,5,56,false,1613,1,false,1621,1,false,1771,1,false,0,0,false,0,0,false,0,0,false,0,0,false
58,2,14,false,5,14,false,5116,6,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
59,2,36,false,5,36,false,5116,16,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
60,2,60,false,5,60,false,1636,1,false,5566,1,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
61,3,3,false,5,3,false,5107,2,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
62,3,7,false,5,7,false,5107,5,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
63,3,24,false,5,24,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
64,3,3,false,5,3,false,5106,2,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
65,3,8,false,5,8,false,5106,6,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
66,3,28,false,5,28,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
67,3,4,false,5,4,false,5106,3,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
68,3,10,false,5,10,false,5106,7,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
69,3,32,false,5,32,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
70,3,4,false,5,4,false,5111,3,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
71,3,11,false,5,11,false,5111,8,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
72,3,36,false,5,36,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
73,3,5,false,5,5,false,5111,4,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
74,3,12,false,5,12,false,5111,10,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
75,3,40,false,5,40,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
76,3,5,false,5,5,false,5528,4,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
77,3,13,false,5,13,false,5528,11,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
78,3,44,false,5,44,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
79,3,12,false,5,12,false,5528,5,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
80,3,30,false,5,30,false,5528,12,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
81,3,48,false,5,48,false,2225,1,false,2667,1,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
82,3,12,false,5,12,false,5114,5,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
83,3,32,false,5,32,false,5114,13,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
84,3,52,false,5,52,false,2667,1,false,2232,1,false,3021,1,false,0,0,false,0,0,false,0,0,false,0,0,false
85,3,14,false,5,14,false,5114,6,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
