Index,0 [UINT] [0x0],1 [UBYTE] [0x8],2 [UBYTE] [0x9],3 [UINT] [0x4],4 [BBOOL] [0xA]
0,0,0,0,0,true
1,10308,0,0,2000,true
2,10309,0,1,2000,true
3,10310,0,2,2000,true
4,10311,0,3,2000,true
5,10307,0,4,1000,true
6,17833,0,5,2000,true
7,17834,0,6,2000,true
8,21072,1,0,65000,false
9,21073,1,1,65000,false
10,21074,1,2,65000,false
11,21075,1,3,65000,false
12,21076,1,4,65000,false
13,21077,1,5,65000,false
14,21078,1,6,65000,false
15,21079,1,7,65000,false
16,21080,1,8,65000,false
17,21081,1,9,65000,false
18,21172,1,10,65000,false
19,21173,1,11,65000,false
20,21935,1,12,65000,false
21,22525,1,13,65000,false
