Index,0 [STRING] [0x0],1 [BBOOL] [0x4]
0,"AchievementInfo",true
1,"CrossWorldLinkshell",true
2,"EurekaMagiciteItemSynthesis",true
3,"JournalAccept",true
4,"JournalResult",true
5,"Trade",true
6,"EurekaMagiaActionNotebook",true
7,"NeedGreed",true
8,"7EurekaWeaponAdjust",true
9,"Shop",true
10,"Description",true
11,"Alarm",true
12,"ListGrid",true
13,"AlarmSettings",true
14,"FreeShop",true
15,"MerchantEquipSelect",true
16,"LinkShell",true
17,"MerchantSetting",false
18,"SocialDetailA",true
19,"SocialDetailB",true
20,"PcSearchDetail",true
21,"GuildLeve",true
22,"MerchantShop",true
23,"Macro",true
24,"AreaMap",true
25,"GuildLeveDifficulty",true
26,"GatheringNote",true
27,"Journal",true
28,"LetterList",true
29,"LetterViewer",true
30,"LetterEditor",true
31,"RecipeNote",true
32,"ActionMenu",true
33,"GuildLeveHistory",true
35,"Config",true
41,"Request",true
44,"Character",true
49,"Bank",true
54,"RetainerSell",true
55,"RetainerSellList",true
56,"Repair",true
59,"CharacterInspect",true
60,"HudLayout",true
61,"Social",true
62,"ConfigLog",true
63,"ConfigLogFilter",true
64,"LogFilterInputString",true
65,"ConfigKeybind",true
66,"ConfigLogColor",true
67,"MonsterNote",true
68,"ItemSearch",true
69,"ItemSearchResult",true
70,"ItemSearchFilter",true
71,"ItemHistory",true
73,"ConfigSystem",true
78,"FreeCompany",true
80,"Achievement",true
81,"HowToList",true
82,"Cabinet",true
84,"FishingNote",true
85,"ContentsFinder",true
90,"Materialize",true
92,"MateriaAttach",true
94,"MateriaBroker",true
96,"FreeCompanyOrganizeSheet",true
97,"FreeCompanyProfile",true
98,"LegacyItemStorage",true
99,"GrandCompanyRank",true
100,"GrandCompanyRankUp",true
101,"SupportDesk",true
102,"GearSetList",true
126,"GrandCompanySupplyList",true
127,"GrandCompanySupplyReward",true
128,"CabinetWithdraw",true
129,"FreeCompanyMemberRankAssign",true
130,"FreeCompanyMemberRankEdit",true
132,"FreeCompanyInputString",true
133,"FreeCompanyMemberRankOrderEdit",true
135,"ConfigCharacter",true
137,"LicenseViewer",true
138,"ContentsInfo",true
141,"Buddy",true
142,"BuddyEquipList",true
146,"FreeCompanyChest",true
147,"FreeCompanyExchange",true
148,"FreeCompanyProfileEdit",true
149,"FreeCompanyCrestEditor",true
150,"FreeCompanyCrestColor",true
151,"FreeCompanyCrestSymbolColor",true
152,"FreeCompanyCrestDecal",true
153,"FishGuide",true
154,"FishRecord",true
155,"ShopExchangeCurrency",true
156,"ShopExchangeItem",true
160,"CutSceneReplay",true
172,"BuddyInspect",true
175,"AllianceMemberList",true
176,"ColorantColoring",true
177,"ColorantEquipment",true
179,"Concentration",true
180,"GrandCompanyExchange",true
181,"LookingForGroup",true
182,"LookingForGroupCondition",true
183,"LookingForGroupDetail",true
184,"LookingForGroupSelectRole",true
185,"LookingForGroupSearch",true
186,"Nego",true
187,"Puzzle",true
188,"PvpProfile",true
189,"SystemMenu",true
191,"VoteKick",true
192,"VoteKickReply",true
193,"VoteMvp",true
195,"HousingTravellersNote",true
196,"HousingGardening",true
