Index,0 [UINT] [0x0],1 [USHORT] [0x4],2 [UBYTE] [0x32],3 [USHORT] [0x6],4 [UBYTE] [0x33],5 [USHORT] [0x8],6 [UBYTE] [0x34],7 [USHORT] [0xA],8 [UBYTE] [0x35],9 [USHORT] [0xC],10 [UBYTE] [0x36],11 [USHORT] [0xE],12 [UBYTE] [0x37],13 [USHORT] [0x10],14 [UBYTE] [0x38],15 [USHORT] [0x12],16 [UBYTE] [0x39],17 [USHORT] [0x14],18 [UBYTE] [0x3A],19 [USHORT] [0x16],20 [UBYTE] [0x3B],21 [USHORT] [0x18],22 [USHORT] [0x1A],23 [USHORT] [0x1C],24 [USHORT] [0x1E],25 [USHORT] [0x20],26 [USHORT] [0x26],27 [USHORT] [0x22],28 [USHORT] [0x28],29 [USHORT] [0x24],30 [USHORT] [0x2A],31 [USHORT] [0x2C],32 [USHORT] [0x2E],33 [USHORT] [0x30]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2001298,357,10,358,10,359,10,360,10,361,10,362,10,363,10,371,10,364,10,365,10,446,447,448,0,480,155,589,180,611,152,644,849,868
2,2001299,366,10,396,10,367,10,368,10,369,10,370,10,372,10,373,10,374,10,375,10,449,450,451,0,571,138,424,146,633,154,645,853,875
3,2001300,376,10,377,10,356,10,378,10,379,10,380,10,381,10,383,10,384,10,385,10,452,453,454,0,521,156,620,152,430,146,646,860,863
4,2001301,386,10,387,10,388,10,389,10,390,10,391,10,392,10,393,10,394,10,395,10,455,456,457,0,475,155,577,138,540,145,646,649,865
5,2001302,397,10,398,10,400,10,401,10,402,10,403,10,382,10,413,10,404,10,405,10,458,459,453,0,569,138,516,156,616,152,647,652,870
6,2001303,406,10,407,10,408,10,409,10,399,10,410,10,411,10,412,10,414,10,415,10,460,461,448,0,632,154,642,147,499,155,650,643,873
7,2001304,416,10,417,10,418,10,419,10,420,10,421,10,422,10,423,10,424,10,425,10,462,463,454,0,317,139,604,148,517,156,643,658,848
8,2001305,426,10,427,10,428,10,429,10,430,10,431,10,432,10,433,10,434,10,435,10,464,451,457,0,552,146,486,155,628,153,644,659,855
9,2001306,436,10,437,10,438,10,439,10,440,10,441,10,442,10,443,10,444,10,445,10,465,459,461,0,493,155,587,180,543,145,645,657,859
