Index,0 [UBYTE] [0x18],1 [UBYTE] [0x19],2 [BYTE] [0x1C],3 [UBYTE] [0x1A],4 [USHORT] [0x8],5 [STRING] [0x0],6 [UBYTE] [0x1B],7 [SHORT] [0x12],8 [SHORT] [0x14],9 [USHORT] [0xA],10 [USHORT] [0xC],11 [USHORT] [0xE],12 [SHORT] [0x16],13 [UINT] [0x4],14 [USHORT] [0x10],15 [BBOOL] [0x1D],16 [BBOOL] [0x1D]
0,0,0,0,0,137,"",1,0,0,0,0,0,-1,0,0,true,false
1,0,0,0,1,137,"default/00",1,0,0,21,21,0,-1,0,1,true,false
2,2,2,0,1,3,"f1t1/00",2,0,0,23,52,0,-1,0,132,true,false
3,2,3,0,1,4,"f1t2/00",2,0,0,23,53,0,-1,0,133,true,false
4,2,5,0,1,5,"f1f1/00",1,0,0,23,54,0,0,16382,148,true,false
5,2,6,0,1,6,"f1f2/00",1,0,0,23,55,0,0,1048574,152,false,false
6,2,7,0,1,7,"f1f3/00",1,0,0,23,56,0,1,131070,153,false,false
7,2,8,0,1,8,"f1f4/00",1,0,0,23,57,0,2,131070,154,false,false
8,2,9,0,1,10,"f1d1/00",3,0,0,23,58,0,1,4094,164,true,false
9,2,10,0,1,21,"f1r1/00",2,0,0,23,61,0,2,16382,169,true,false
10,0,0,0,1,20,"f1f1/01",2,0,0,23,106,0,-1,0,0,true,false
11,1,2,0,1,71,"s1t1/01",2,0,0,22,28,0,-1,0,128,true,false
12,1,3,0,1,72,"s1t2/00",2,0,0,22,29,0,-1,0,129,true,false
13,3,2,0,1,59,"w1t1/01",2,0,0,24,40,0,-1,0,130,true,false
14,3,3,1,1,60,"w1t2/01",2,0,0,24,41,373,-1,0,131,true,false
15,1,6,0,1,74,"s1f1/00",1,0,0,22,30,0,3,254,134,true,false
16,1,7,0,1,75,"s1f2/00",1,0,0,22,31,0,4,2046,135,true,false
17,1,8,0,1,76,"s1f3/00",1,0,0,22,32,0,5,32766,137,true,false
18,1,9,0,1,77,"s1f4/00",1,0,0,22,33,0,3,1048574,138,false,false
19,1,10,0,1,78,"s1f5/00",1,0,0,22,34,0,6,510,139,true,false
20,3,6,0,1,40,"w1f1/00",1,0,0,24,42,0,7,8190,140,true,false
21,3,7,0,1,39,"w1f2/00",1,0,0,24,43,0,8,16382,141,true,false
22,3,8,0,1,41,"w1f3/00",1,0,0,24,44,0,4,262142,145,false,false
23,3,9,0,1,42,"w1f4/01",1,0,0,24,45,0,5,1048574,146,false,false
24,3,10,0,1,43,"w1f5/00",1,0,0,24,46,0,9,510,147,true,false
25,5,2,0,1,108,"l1f1/01",1,0,0,26,67,0,6,131070,156,false,false
26,0,0,0,1,68,"s1ti/00",8,0,0,22,733,0,-1,0,177,true,false
27,0,0,0,1,70,"w1ti/00",8,0,0,24,617,0,-1,0,178,true,false
28,0,0,0,1,69,"f1ti/00",8,0,0,23,548,0,-1,0,179,true,false
29,0,0,0,1,137,"default/00",2,0,0,0,0,0,-1,0,22,true,false
30,1,11,0,1,79,"s1f6/00",1,0,0,22,350,0,10,510,180,true,false
31,1,12,0,1,80,"s1d1/00",2,0,0,22,35,0,11,4094,157,true,false
32,1,14,0,1,82,"s1d3/00",2,0,0,22,37,0,12,1022,159,true,false
33,0,0,0,1,137,"s1fa/00",4,0,0,22,359,0,-1,0,206,true,false
34,3,11,1,1,44,"w1d1/01",2,0,0,24,48,849,13,6,161,true,false
35,0,0,0,1,137,"w1fa/00",4,0,0,24,357,0,-1,0,202,true,false
36,0,0,0,1,137,"f1fa/00",4,0,0,23,360,0,-1,0,207,true,false
37,4,3,0,1,103,"r1d1/00",2,0,0,25,401,0,14,1022,168,true,false
38,4,5,0,1,106,"r1r2/00",2,0,0,25,65,0,15,2046,172,true,false
39,0,0,1,1,137,"r1fa/01",4,0,0,25,361,0,-1,0,208,true,false
40,3,11,2,1,45,"w1d1/02",2,0,0,24,48,850,13,16632,161,true,false
41,3,11,3,1,46,"w1d1/03",2,0,0,24,48,372,13,16128,161,true,false
42,3,13,1,1,48,"w1d3/01",2,0,0,24,50,854,7,2,163,false,false
43,3,13,2,1,49,"w1d3/02",2,0,0,24,50,855,7,131068,163,false,false
44,3,13,3,1,50,"w1d3/03",2,0,0,24,50,856,7,917504,163,false,false
45,1,13,0,1,81,"s1d2/00",2,0,0,22,36,0,16,65534,158,true,false
46,3,12,0,1,47,"w1d2/00",2,0,0,24,49,0,17,1022,162,true,false
47,0,0,0,1,51,"w1d4/00",2,0,0,24,260,0,18,65534,217,true,false
48,2,11,2,1,12,"f1d2/01",2,0,0,23,59,599,8,510,166,false,false
49,2,12,1,1,14,"f1d3/01",2,0,0,23,128,873,19,14,167,true,false
50,4,4,1,1,104,"r1r1/01",2,0,0,25,64,922,25,62,171,true,false
51,1,5,0,1,83,"s1p1/00",4,0,0,22,358,0,-1,0,250,true,false
52,3,14,1,1,63,"w1r1/01",2,0,0,24,47,838,20,158,170,true,false
53,4,2,0,1,102,"r1f1/00",1,0,0,25,63,0,9,8388606,155,false,false
54,2,11,1,1,11,"f1d2/02",2,0,0,23,59,600,8,1966080,166,false,false
55,2,11,3,1,13,"f1d2/03",2,0,0,23,59,601,8,130560,166,false,false
56,0,0,1,1,52,"w1d5/01",2,0,0,24,440,441,26,2,224,true,false
57,0,0,0,1,87,"s1b1/00",2,0,0,22,464,0,21,254,241,true,false
58,0,0,0,1,88,"s1b2/00",2,0,0,22,465,0,22,6,242,true,false
59,0,0,0,1,92,"s1b4/00",2,0,0,22,467,0,-1,0,244,true,false
60,0,0,0,1,93,"s1b5/00",2,0,0,22,468,0,23,14,245,true,false
61,0,0,0,1,94,"default/00",1,0,0,22,469,0,-1,0,247,true,false
62,0,0,1,1,89,"s1b3/01",2,0,0,22,466,924,24,2,243,true,false
63,0,0,2,1,90,"s1b3/02",2,0,0,22,466,925,24,4,243,true,false
64,0,0,3,1,91,"s1b3/03",2,0,0,22,466,926,24,8,243,true,false
65,0,0,3,1,25,"f1b3/01",2,0,0,23,1303,1315,36,2,357,true,false
66,0,0,2,1,26,"f1b3/02",2,0,0,23,1303,1314,36,52,357,true,false
67,0,0,1,1,27,"f1b3/03",2,0,0,23,1303,1313,36,8,357,true,false
68,0,0,0,1,29,"f1e4/00",8,0,0,23,346,0,-1,0,204,true,true
69,0,0,0,1,30,"f1e5/00",4,0,0,23,347,0,-1,0,205,true,true
70,3,2,0,1,61,"w1t1/02",2,0,0,24,40,654,-1,0,130,true,false
71,5,4,1,1,110,"l1r1/01",2,0,0,26,478,479,30,16382,174,true,false
72,1,4,1,1,86,"s1h1/01",2,0,0,22,425,1161,-1,0,339,true,false
73,3,3,2,1,62,"w1t2/02",2,0,0,24,41,698,-1,0,131,true,false
74,1,2,0,1,73,"s1t1/02",2,0,0,22,28,725,-1,0,128,true,false
75,0,0,0,1,31,"s1e4/00",8,0,0,22,351,0,-1,0,198,true,true
76,0,0,0,1,32,"s1e5/00",4,0,0,22,352,0,-1,0,199,true,false
77,0,0,0,1,33,"s1e6/00",4,0,0,22,353,0,-1,0,200,true,false
78,0,0,0,1,34,"w1e4/00",4,0,0,24,354,0,-1,0,210,true,true
79,0,0,0,1,35,"w1e5/00",4,0,0,24,355,0,-1,0,211,true,false
80,0,0,0,1,36,"w1e6/00",4,0,0,24,356,0,-1,0,212,true,true
81,0,0,0,1,84,"s1p2/00",4,0,0,22,154,0,-1,0,175,true,false
82,2,4,1,1,66,"f1h1/01",2,0,0,23,426,1165,-1,0,340,true,false
83,3,4,1,1,67,"w1h1/01",2,0,0,24,427,1163,-1,0,341,true,false
84,2,12,2,1,15,"f1d3/02",2,0,0,23,128,874,19,240,167,true,false
85,2,12,3,1,16,"f1d3/03",2,0,0,23,128,875,19,3840,167,true,false
86,4,4,2,1,105,"r1r1/02",2,0,0,25,64,923,25,8128,171,true,false
87,1,1,0,2,131,"region/00",1,0,0,22,22,0,-1,0,0,true,false
88,3,1,0,2,132,"region/02",1,0,0,24,24,0,-1,0,0,true,false
89,2,1,0,2,133,"region/01",1,0,0,23,23,0,-1,0,0,true,false
90,4,1,0,2,134,"region/03",1,0,0,25,25,0,-1,0,0,true,false
91,5,1,0,2,135,"region/04",1,0,0,26,26,0,-1,0,0,true,false
