Index,0 [UINT] [0x18],1 [STRING] [0x0],2 [STRING] [0x4],3 [STRING] [0x8],4 [STRING] [0xC],5 [STRING] [0x10],6 [STRING] [0x14]
0,0,"碧海幼狼","密林幼狼","黄沙幼狼","碧海幼狼","密林幼狼","黄沙幼狼"
1,10,"碧海幼狼","密林幼狼","黄沙幼狼","碧海幼狼","密林幼狼","黄沙幼狼"
2,40,"碧海幼狼","密林幼狼","黄沙幼狼","碧海幼狼","密林幼狼","黄沙幼狼"
3,100,"碧海幼狼","密林幼狼","黄沙幼狼","碧海幼狼","密林幼狼","黄沙幼狼"
4,190,"碧海幼狼","密林幼狼","黄沙幼狼","碧海幼狼","密林幼狼","黄沙幼狼"
5,310,"碧海幼狼","密林幼狼","黄沙幼狼","碧海幼狼","密林幼狼","黄沙幼狼"
6,490,"碧海幼狼","密林幼狼","黄沙幼狼","碧海幼狼","密林幼狼","黄沙幼狼"
7,730,"碧海幼狼","密林幼狼","黄沙幼狼","碧海幼狼","密林幼狼","黄沙幼狼"
8,1030,"碧海幼狼","密林幼狼","黄沙幼狼","碧海幼狼","密林幼狼","黄沙幼狼"
9,1390,"碧海幼狼","密林幼狼","黄沙幼狼","碧海幼狼","密林幼狼","黄沙幼狼"
10,1810,"碧海吼狼","密林吼狼","黄沙吼狼","碧海吼狼","密林吼狼","黄沙吼狼"
11,2350,"碧海吼狼","密林吼狼","黄沙吼狼","碧海吼狼","密林吼狼","黄沙吼狼"
12,3010,"碧海吼狼","密林吼狼","黄沙吼狼","碧海吼狼","密林吼狼","黄沙吼狼"
13,3790,"碧海吼狼","密林吼狼","黄沙吼狼","碧海吼狼","密林吼狼","黄沙吼狼"
14,4690,"碧海吼狼","密林吼狼","黄沙吼狼","碧海吼狼","密林吼狼","黄沙吼狼"
15,5710,"碧海吼狼","密林吼狼","黄沙吼狼","碧海吼狼","密林吼狼","黄沙吼狼"
16,6910,"碧海吼狼","密林吼狼","黄沙吼狼","碧海吼狼","密林吼狼","黄沙吼狼"
17,8290,"碧海吼狼","密林吼狼","黄沙吼狼","碧海吼狼","密林吼狼","黄沙吼狼"
18,9850,"碧海吼狼","密林吼狼","黄沙吼狼","碧海吼狼","密林吼狼","黄沙吼狼"
19,11590,"碧海吼狼","密林吼狼","黄沙吼狼","碧海吼狼","密林吼狼","黄沙吼狼"
20,13510,"碧海啸狼","密林啸狼","黄沙啸狼","碧海啸狼","密林啸狼","黄沙啸狼"
21,15670,"碧海啸狼","密林啸狼","黄沙啸狼","碧海啸狼","密林啸狼","黄沙啸狼"
22,18070,"碧海啸狼","密林啸狼","黄沙啸狼","碧海啸狼","密林啸狼","黄沙啸狼"
23,20710,"碧海啸狼","密林啸狼","黄沙啸狼","碧海啸狼","密林啸狼","黄沙啸狼"
24,23590,"碧海啸狼","密林啸狼","黄沙啸狼","碧海啸狼","密林啸狼","黄沙啸狼"
25,26710,"碧海啸狼","密林啸狼","黄沙啸狼","碧海啸狼","密林啸狼","黄沙啸狼"
26,30130,"碧海啸狼","密林啸狼","黄沙啸狼","碧海啸狼","密林啸狼","黄沙啸狼"
27,33850,"碧海啸狼","密林啸狼","黄沙啸狼","碧海啸狼","密林啸狼","黄沙啸狼"
28,37870,"碧海啸狼","密林啸狼","黄沙啸狼","碧海啸狼","密林啸狼","黄沙啸狼"
29,42190,"碧海啸狼","密林啸狼","黄沙啸狼","碧海啸狼","密林啸狼","黄沙啸狼"
30,46810,"碧海猎狼","密林猎狼","黄沙猎狼","碧海猎狼","密林猎狼","黄沙猎狼"
31,51790,"碧海猎狼","密林猎狼","黄沙猎狼","碧海猎狼","密林猎狼","黄沙猎狼"
32,57130,"碧海猎狼","密林猎狼","黄沙猎狼","碧海猎狼","密林猎狼","黄沙猎狼"
33,62830,"碧海猎狼","密林猎狼","黄沙猎狼","碧海猎狼","密林猎狼","黄沙猎狼"
34,68890,"碧海猎狼","密林猎狼","黄沙猎狼","碧海猎狼","密林猎狼","黄沙猎狼"
35,75310,"碧海猎狼","密林猎狼","黄沙猎狼","碧海猎狼","密林猎狼","黄沙猎狼"
36,82150,"碧海猎狼","密林猎狼","黄沙猎狼","碧海猎狼","密林猎狼","黄沙猎狼"
37,89410,"碧海猎狼","密林猎狼","黄沙猎狼","碧海猎狼","密林猎狼","黄沙猎狼"
38,97090,"碧海猎狼","密林猎狼","黄沙猎狼","碧海猎狼","密林猎狼","黄沙猎狼"
39,105190,"碧海猎狼","密林猎狼","黄沙猎狼","碧海猎狼","密林猎狼","黄沙猎狼"
40,113710,"碧海巡狼","密林巡狼","黄沙巡狼","碧海巡狼","密林巡狼","黄沙巡狼"
41,122710,"碧海巡狼","密林巡狼","黄沙巡狼","碧海巡狼","密林巡狼","黄沙巡狼"
42,132190,"碧海巡狼","密林巡狼","黄沙巡狼","碧海巡狼","密林巡狼","黄沙巡狼"
43,142150,"碧海巡狼","密林巡狼","黄沙巡狼","碧海巡狼","密林巡狼","黄沙巡狼"
44,152590,"碧海巡狼","密林巡狼","黄沙巡狼","碧海巡狼","密林巡狼","黄沙巡狼"
45,163510,"碧海巡狼","密林巡狼","黄沙巡狼","碧海巡狼","密林巡狼","黄沙巡狼"
46,174970,"碧海巡狼","密林巡狼","黄沙巡狼","碧海巡狼","密林巡狼","黄沙巡狼"
47,186970,"碧海巡狼","密林巡狼","黄沙巡狼","碧海巡狼","密林巡狼","黄沙巡狼"
48,199510,"碧海巡狼","密林巡狼","黄沙巡狼","碧海巡狼","密林巡狼","黄沙巡狼"
49,212590,"碧海巡狼","密林巡狼","黄沙巡狼","碧海巡狼","密林巡狼","黄沙巡狼"
50,226210,"碧海追狼","密林追狼","黄沙追狼","碧海追狼","密林追狼","黄沙追狼"
51,0,"碧海追狼","密林追狼","黄沙追狼","碧海追狼","密林追狼","黄沙追狼"
52,0,"碧海追狼","密林追狼","黄沙追狼","碧海追狼","密林追狼","黄沙追狼"
53,0,"碧海追狼","密林追狼","黄沙追狼","碧海追狼","密林追狼","黄沙追狼"
54,0,"碧海追狼","密林追狼","黄沙追狼","碧海追狼","密林追狼","黄沙追狼"
55,0,"碧海追狼","密林追狼","黄沙追狼","碧海追狼","密林追狼","黄沙追狼"
56,0,"碧海追狼","密林追狼","黄沙追狼","碧海追狼","密林追狼","黄沙追狼"
57,0,"碧海追狼","密林追狼","黄沙追狼","碧海追狼","密林追狼","黄沙追狼"
58,0,"碧海追狼","密林追狼","黄沙追狼","碧海追狼","密林追狼","黄沙追狼"
