Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [UBYTE] [0x28],3 [USHORT] [0x1C],4 [USHORT] [0x1E],5 [USHORT] [0x20],6 [USHORT] [0x22],7 [UBYTE] [0x29],8 [UBYTE] [0x2A],9 [UBYTE] [0x2B],10 [BOOL] [0x2F],11 [BOOL] [0x30],12 [BOOL] [0x31],13 [USHORT] [0x24],14 [INT] [0xC],15 [INT] [0x10],16 [UINT] [0x8],17 [USHORT] [0x26],18 [INT] [0x14],19 [INT] [0x18],20 [UBYTE] [0x2C],21 [BYTE] [0x2D],22 [BYTE] [0x2E]
1,"default","ffxiv/_trial/default/level/default",1,1,0,2,1,0,1,0,false,true,true,1003,-1,-1,0,0,0,-1,0,-1,-1
2,"collision_test","ffxiv/_trial/collision_test/level/collision_test",1,1,0,3,1,0,1,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1
3,"battle_test","ffxiv/_trial/battle_test/level/battle_test",1,1,0,4,1,0,1,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1
4,"pvp_test","ffxiv/sea_s1/pvp/s1p2/level/s1p2",5,1,0,5,1,0,1,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1
5,"event_test","ffxiv/_trial/event_test/level/event_test",1,1,0,6,1,0,1,0,false,true,true,1003,-1,-1,852511,0,0,-1,0,-1,-1
6,"w1f2_client_benchmark","ffxiv/wil_w1/fld/w1f2/level/w1f2",1,24,0,43,21,0,1,0,false,true,true,1001,122002,123105,0,0,0,-1,0,-1,-1
7,"f1f1_client_benchmark","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,0,54,4,0,1,0,false,true,true,1004,122003,123204,0,0,0,-1,0,-1,-1
8,"f1t1_intel","ffxiv/fst_f1/twn/f1t1/level/f1t1",1,23,0,52,2,0,0,0,true,false,false,1003,122003,123201,0,0,0,-1,0,-1,-1
9,"f1f1_intel","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,0,54,4,0,1,0,true,true,true,1004,122003,123204,0,0,0,-1,0,-1,-1
10,"s1f2_client_benchmark","ffxiv/sea_s1/fld/s1f2/level/s1f2",1,22,0,31,16,0,1,0,false,true,true,1001,122001,123005,0,0,0,-1,0,-1,-1
11,"f1d1_client_benchmark","ffxiv/fst_f1/dun/f1d1/level/f1d1",1,23,0,58,8,2,3,0,false,true,true,1002,122003,124201,0,0,0,-1,0,-1,-1
13,"zoo","ffxiv/_trial/zoo/level/zoo",1,1,0,10,1,0,1,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1
14,"npc_pop_test","",1,1,0,11,1,0,1,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1
15,"retainer_test","ffxiv/_trial/retainer_test/level/retainer_test",1,1,0,12,1,0,1,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1
16,"navimesh_test","ffxiv/_trial/navimesh_test/level/navimesh_test",1,1,0,0,1,0,1,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1
17,"company_test","ffxiv/_trial/company_test/level/company_test",1,1,0,0,1,0,1,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1
18,"ps3_test","ffxiv/_trial/ps3_test/level/ps3_test",1,1,0,0,1,0,0,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1
19,"leve_test","ffxiv/_trial/leve_test/level/leve_test",1,1,0,17,1,0,1,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1
20,"event2_test","ffxiv/_trial/event2_test/level/event2_test",1,1,0,0,1,0,1,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1
21,"contents_test","ffxiv/_trial/contents_test/level/contents_test",1,1,0,0,1,0,1,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1
22,"qib_test","ffxiv/_trial/qib_test/level/qib_test",1,23,0,0,29,3,9,0,false,true,true,37,-1,-1,0,1,0,-1,0,-1,-1
24,"gathering_test","ffxiv/_trial/gathering_test/level/gathering_test",1,1,0,0,1,0,1,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1
25,"attribute_test","ffxiv/_trial/attribute_test/level/attribute_test",1,1,0,0,1,0,1,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1
26,"frontline_test","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,507,54,4,2,3,0,true,true,true,1004,122003,123204,852246,0,0,-1,0,-1,-1
128,"s1t1","ffxiv/sea_s1/twn/s1t1/level/s1t1",1,22,500,28,11,0,0,0,true,false,false,1020,122007,123002,852085,0,8,-1,0,-1,0
129,"s1t2","ffxiv/sea_s1/twn/s1t2/level/s1t2",1,22,500,29,12,0,0,0,true,false,false,1020,122007,123003,852088,0,8,-1,0,-1,1
130,"w1t1","ffxiv/wil_w1/twn/w1t1/level/w1t1",1,24,504,40,13,0,0,0,true,false,false,1035,122008,123102,852086,0,9,-1,0,-1,2
131,"w1t2","ffxiv/wil_w1/twn/w1t2/level/w1t2",1,24,504,41,14,0,0,0,true,false,false,1035,122008,123103,0,0,9,-1,0,-1,3
132,"f1t1","ffxiv/fst_f1/twn/f1t1/level/f1t1",1,23,506,52,2,0,0,0,true,false,false,1003,122009,123202,852087,0,2,-1,2,-1,4
133,"f1t2","ffxiv/fst_f1/twn/f1t2/level/f1t2",1,23,506,53,3,0,0,0,true,false,false,1003,122009,123203,852103,0,2,-1,0,-1,5
134,"s1f1","ffxiv/sea_s1/fld/s1f1/level/s1f1",1,22,502,30,15,0,1,0,true,true,true,1021,122001,123004,852316,0,52,-1,0,-1,6
