Index,0 [UBYTE] [0x20],1 [UINT] [0x0],2 [UINT] [0x4],3 [UINT] [0x8],4 [UINT] [0xC],5 [UINT] [0x10],6 [UINT] [0x14],7 [UINT] [0x18],8 [UINT] [0x1C]
327680,255,0,0,0,0,0,0,0,0
327681,0,522,3082,2052,4,1036,3594,1548,2576
327682,1,523,3083,2052,4,1036,3594,1548,2576
327683,2,524,3084,2052,4,1036,3594,1548,2576
327684,0,534,3082,2056,8,1037,3595,1549,2572
327685,1,535,3083,2056,8,1037,3595,1549,2572
327686,2,536,3084,2056,8,1037,3595,1549,2572
327687,0,546,3082,2060,12,1035,3596,1547,2568
327688,1,547,3083,2060,12,1035,3596,1547,2568
327689,2,548,3084,2060,12,1035,3596,1547,2568
327690,0,549,3082,2061,13,1034,3597,1546,2564
327691,1,550,3083,2061,13,1034,3597,1546,2564
327692,2,551,3084,2061,13,1034,3597,1546,2564
327693,0,552,3103,2062,14,1038,3598,1550,2577
327694,1,553,3104,2062,14,1038,3598,1550,2577
327695,2,554,3105,2062,14,1038,3598,1550,2577
327696,0,555,3106,2063,15,1039,3599,1551,2578
327697,1,556,3107,2063,15,1039,3599,1551,2578
327698,2,557,3108,2063,15,1039,3599,1551,2578
