Index,0 [FLOAT] [0x0],1 [FLOAT] [0x4],2 [BBOOL] [0x11],3 [FLOAT] [0x8],4 [UBYTE] [0x10],5 [FLOAT] [0xC],6 [BBOOL] [0x11]
0,0.0,0.0,true,0.0,0,0.0,true
1,10.0,20.0,true,0.0,0,0.0,true
2,20.0,30.0,true,0.0,0,0.0,true
3,15.0,20.0,true,0.0,0,0.0,true
4,5.0,10.0,true,0.0,0,0.0,true
5,5.0,10.0,true,0.0,0,0.0,true
6,30.0,30.0,true,0.0,0,0.0,true
7,2.0,10.0,true,0.0,0,0.0,true
8,15.0,25.0,true,0.0,0,0.0,true
9,30.0,30.0,true,0.0,0,0.0,true
10,20.0,25.0,true,0.0,0,0.0,true
11,20.0,20.0,true,0.0,0,0.0,true
12,20.0,40.0,true,0.0,0,0.0,true
13,3.0,20.0,true,0.0,0,0.0,true
14,20.0,40.0,true,0.0,0,0.0,true
15,5.0,30.0,true,0.0,0,0.0,true
16,10.0,30.0,true,0.0,3,0.0,false
17,4.0,20.0,true,0.0,0,0.0,true
18,15.0,20.0,true,0.0,0,0.0,true
19,4.0,6.0,true,0.0,0,0.0,true
20,10.0,12.0,true,0.0,0,0.0,true
21,25.0,30.0,true,0.0,0,0.0,true
22,35.0,40.0,true,0.0,0,0.0,true
23,30.0,40.0,true,0.0,0,0.0,true
24,4.0,6.0,true,0.0,0,0.0,true
25,25.0,10.0,true,0.0,1,0.0,true
26,25.0,10.0,true,0.0,1,180.0,true
27,20.0,25.0,true,0.0,0,0.0,true
28,15.0,20.0,true,0.0,0,0.0,true
29,10.0,15.0,true,0.0,0,0.0,true
30,30.0,30.0,true,0.0,0,0.0,true
31,15.0,25.0,true,0.0,0,0.0,true
32,15.0,25.0,true,0.0,0,0.0,true
33,8.0,15.0,true,0.0,0,0.0,true
34,15.0,25.0,true,0.0,0,0.0,true
35,20.0,40.0,true,0.0,0,0.0,true
36,10.0,30.0,true,0.0,0,0.0,true
37,30.0,15.0,true,0.0,0,0.0,true
38,13.0,25.0,true,0.0,0,0.0,true
39,30.0,40.0,true,0.0,0,0.0,true
40,15.0,25.0,true,0.0,0,0.0,true
41,10.0,25.0,true,0.0,0,0.0,true
42,15.0,25.0,true,0.0,0,0.0,true
43,10.0,25.0,true,0.0,0,0.0,true
44,30.0,40.0,true,0.0,0,0.0,true
45,30.0,40.0,true,0.0,0,0.0,true
46,8.0,25.0,true,0.0,0,0.0,true
47,11.0,20.0,true,0.0,0,0.0,true
48,10.0,20.0,true,0.0,0,0.0,true
49,5.0,10.0,true,0.0,0,0.0,true
50,5.0,20.0,true,0.0,0,0.0,true
51,5.0,5.0,true,0.0,0,0.0,true
52,20.0,20.0,true,0.0,0,0.0,true
53,30.0,30.0,true,0.0,0,0.0,true
54,10.0,20.0,true,0.0,0,0.0,true
55,25.0,30.0,true,0.0,0,0.0,true
56,20.0,10.0,true,0.0,1,0.0,true
57,20.0,10.0,true,0.0,1,180.0,true
58,10.0,20.0,true,0.0,3,0.0,true
59,0.0,0.0,true,0.0,0,0.0,true
60,0.0,0.0,true,0.0,0,0.0,true
