Index,0 [UINT] [0x24],1 [UBYTE] [0x28],2 [UBYTE] [0x4],3 [UBYTE] [0xC],4 [UBYTE] [0x14],5 [USHORT] [0x0],6 [USHORT] [0x8],7 [USHORT] [0x10],8 [UBYTE] [0x5],9 [UBYTE] [0xD],10 [UBYTE] [0x15],11 [USHORT] [0x2],12 [USHORT] [0xA],13 [USHORT] [0x12],14 [UBYTE] [0x6],15 [UBYTE] [0xE],16 [UBYTE] [0x16],17 [BBOOL] [0x7],18 [BBOOL] [0xF],19 [BBOOL] [0x17],20 [STRING] [0x18],21 [STRING] [0x1C],22 [STRING] [0x20]
589824,0,1,1,0,0,799,796,854,1,1,1,0,0,0,3,4,5,false,false,false,"0","0","0"
589825,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"0","0","0"
589826,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"0","0","0"
589827,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"0","0","0"
589828,0,1,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,true,true,false,"0","0","0"
589829,0,1,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,true,true,false,"0","0","0"
589830,0,1,2,2,0,755,763,0,1,1,1,0,0,0,0,0,0,true,true,false,"0","0","0"
589831,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,true,false,false,"0","0","0"
589832,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,true,false,false,"0","0","0"
589833,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,true,false,false,"0","0","0"
589834,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,true,false,false,"0","0","0"
589835,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"0","0","0"
589836,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"0","0","0"
589837,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"0","0","0"
589838,0,1,1,2,2,784,809,786,1,1,1,0,0,0,0,0,0,false,false,false,"0","0","0"
589839,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"0","0","0"
589840,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,false,false,false,"……喂，你知道吗？<br>听说在目黑那里有家店，<br>做出来的肉好吃的不得了哦。","0","0"
