Index,0 [UBYTE] [0x8],1 [UBYTE] [0x9],2 [UINT] [0x0],3 [UINT] [0x4],4 [UBYTE] [0xA],5 [BBOOL] [0xB]
0,0,0,0,0,0,false
1,0,0,0,0,0,false
2,0,0,0,0,0,false
3,0,0,0,0,0,false
4,0,0,0,0,0,false
5,88,197,15,-1494679552,33,false
6,88,198,15,-1505624064,33,false
7,88,199,15,-1505624064,33,false
8,88,200,15,-1505624064,33,false
9,88,202,15,-1494024192,33,false
10,88,203,15,-1493893120,33,false
11,88,204,15,-1505624064,33,false
12,88,205,15,-1493630976,33,false
13,88,206,15,-1493499904,33,false
14,88,207,15,-1493368832,33,false
15,88,208,15,-1505624064,33,false
16,88,209,15,-1505624064,33,false
17,88,210,15,-1492451328,33,false
18,88,211,15,-1505624064,33,false
19,88,212,15,-1491730432,33,false
20,88,213,15,-1505624064,33,false
21,88,214,15,-1491337216,33,false
22,88,215,15,-1491206144,33,false
23,88,216,15,-1490616320,33,false
24,88,217,15,-1755840512,33,false
25,88,192,15,-1499267072,33,false
26,88,193,15,-1498939392,33,false
27,88,194,15,-1498677248,33,false
28,88,195,15,-1489895424,33,false
29,88,196,15,-1489698816,33,false
30,88,201,15,-1494155264,33,false
31,90,133,15,-1490223104,33,false
