Index,0 [UBYTE] [0x6E],1 [UBYTE] [0x6F],2 [UBYTE] [0x70],3 [USHORT] [0x6C],4 [UINT] [0x68],5 [UBYTE] [0x71],6 [UBYTE] [0x72],7 [UBYTE] [0x73],8 [STRING] [0x0],9 [STRING] [0x4],10 [INT] [0x8],11 [INT] [0x18],12 [INT] [0x28],13 [INT] [0x38],14 [INT] [0x48],15 [INT] [0x58],16 [UBYTE] [0x12],17 [UBYTE] [0x22],18 [UBYTE] [0x32],19 [UBYTE] [0x42],20 [UBYTE] [0x52],21 [UBYTE] [0x62],22 [USHORT] [0xC],23 [USHORT] [0x1C],24 [USHORT] [0x2C],25 [USHORT] [0x3C],26 [USHORT] [0x4C],27 [USHORT] [0x5C],28 [UBYTE] [0x13],29 [UBYTE] [0x23],30 [UBYTE] [0x33],31 [UBYTE] [0x43],32 [UBYTE] [0x53],33 [UBYTE] [0x63],34 [USHORT] [0xE],35 [USHORT] [0x1E],36 [USHORT] [0x2E],37 [USHORT] [0x3E],38 [USHORT] [0x4E],39 [USHORT] [0x5E],40 [UBYTE] [0x14],41 [UBYTE] [0x24],42 [UBYTE] [0x34],43 [UBYTE] [0x44],44 [UBYTE] [0x54],45 [UBYTE] [0x64],46 [USHORT] [0x10],47 [USHORT] [0x20],48 [USHORT] [0x30],49 [USHORT] [0x40],50 [USHORT] [0x50],51 [USHORT] [0x60],52 [UBYTE] [0x15],53 [UBYTE] [0x25],54 [UBYTE] [0x35],55 [UBYTE] [0x45],56 [UBYTE] [0x55],57 [UBYTE] [0x65],58 [UBYTE] [0x16],59 [UBYTE] [0x26],60 [UBYTE] [0x36],61 [UBYTE] [0x46],62 [UBYTE] [0x56],63 [UBYTE] [0x66]
0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,8,1,0,7500,100,0,1,"巡逻城内","命令队员在<switch:利姆萨·罗敏萨/格里达尼亚/乌尔达哈>城内定期巡逻。巡逻指定地点，确保城内安全。",0,0,0,0,0,0,0,0,0,0,0,0,145,145,145,145,145,145,20,20,20,20,20,20,140,140,140,140,140,140,20,20,20,20,20,20,140,140,140,140,140,140,20,20,20,20,20,20,20,20,20,20,20,20
2,8,0,1,500,7500,20,0,1,"向附近据点传令","命令队员到<switch:德内维尔关/烤饼练兵所/撒沟厉关>传令。将军方文件交给该地驻扎部队。",0,0,0,0,0,0,0,0,0,0,0,0,165,165,165,150,160,150,20,20,20,20,20,20,160,160,170,170,150,160,20,20,20,20,20,20,160,160,150,165,175,175,20,20,20,20,20,20,20,20,20,20,20,20
3,8,0,1,500,9000,20,0,1,"巡逻城市周边道路","命令队员在<switch:中拉诺西亚/黑衣森林中央林区/中萨纳兰>的主要道路巡逻。发现威胁市民、旅行者、商队安全的魔物后立即消灭。",0,0,0,0,0,0,0,0,0,0,0,0,245,245,150,195,155,195,20,20,20,20,20,20,155,200,255,255,195,155,20,20,20,20,20,20,200,155,195,150,250,250,20,20,20,20,20,20,20,20,20,20,20,20
4,8,0,5,500,10500,20,0,1,"侦查蛮族部队","有情报传来称在<switch:拉诺西亚低地目击到了地灵族/南部林区目击到了鸟人族/中萨纳兰目击到了蜥蜴人族>。立即前往现场，侦查敌人动向后报告。",0,0,0,0,0,0,0,0,0,0,0,0,150,195,155,245,245,195,20,20,20,20,20,20,255,155,195,200,155,255,20,20,20,20,20,20,195,250,250,155,200,150,20,20,20,20,20,20,20,20,20,20,20,20
5,8,0,10,500,12000,20,0,1,"护卫补给部队","命令队员保护前往<switch:骷髅谷营地/阿马里赛哨塔/枯骨营地>的补给部队。任何时刻都不要放松警惕，确保补给部队的安全。",0,0,0,0,0,0,0,0,0,0,0,0,210,125,305,305,210,115,20,20,20,20,20,20,125,210,210,130,320,320,20,20,20,20,20,20,310,310,130,210,115,210,20,20,20,20,20,20,20,20,20,20,20,20
6,8,0,15,500,13500,20,0,1,"驱除魔物","<switch:中拉诺西亚/黑衣森林中央林区/中萨纳兰>的居民发来了驱除<switch:古菩猩猩/树精/巨龟>的请求。为防止损害扩大，立即前往现场阻止魔物。",14945,14945,14945,14945,14945,14945,1,1,1,1,1,1,140,225,320,320,130,225,20,20,20,20,20,20,225,140,145,225,335,335,20,20,20,20,20,20,325,325,225,145,225,130,20,20,20,20,20,20,20,20,20,20,20,20
7,10,12,20,2000,21000,0,0,1,"重要任务：消灭低级妖异","有目击情报称，在<switch:轻声谷/沃连牢狱/丰饶神井>发现低级妖异。放置不管的话，可能会给当地居民带来灾害。立即前往现场，将所有妖异消灭。",15772,15772,15772,15772,15772,15772,1,1,1,1,1,1,225,225,225,225,225,225,0,0,0,0,0,0,205,205,205,205,205,205,0,0,0,0,0,0,230,230,230,230,230,230,0,0,0,0,0,0,100,100,100,100,100,100
8,12,0,20,1000,15000,20,0,2,"支援前线部队","<switch:骷髅谷营地/欧金尼娅哨塔/小阿拉米格>的驻扎部队发来支援请求。立即前往现场，支援当地部队迎击<switch:地灵族/鸟人族/蜥蜴人族>。",0,0,0,0,0,0,0,0,0,0,0,0,265,410,265,140,410,125,20,20,20,20,20,20,140,145,435,265,270,435,20,20,20,20,20,20,420,270,125,420,145,265,20,20,20,20,20,20,20,20,20,20,20,20
9,12,0,20,1000,16500,20,0,2,"护卫同盟军军官","<switch:双蛇党/恒辉队/黑涡团>的军官将来我城进行重要访问。前往飞艇坪迎接，并在访问期间做好万全的接待和护卫。",0,0,0,0,0,0,0,0,0,0,0,0,270,130,270,145,415,415,20,20,20,20,20,20,440,440,145,270,275,150,20,20,20,20,20,20,130,270,425,425,150,275,20,20,20,20,20,20,20,20,20,20,20,20
10,12,0,25,1000,19500,20,0,2,"巡逻郊外道路","命令队员在<switch:东拉诺西亚/黑衣森林南部林区/南萨纳兰>的主要道路巡逻。当地道路多为运输要道，睁大眼睛，确保道路治安。",0,0,0,0,0,0,0,0,0,0,0,0,425,140,280,425,280,155,20,20,20,20,20,20,285,450,155,160,450,280,20,20,20,20,20,20,160,280,435,285,140,435,20,20,20,20,20,20,20,20,20,20,20,20
11,12,0,30,1000,22500,20,0,2,"侦查蛮族据点","命令队员前往<switch:地灵军试掘地/鸟人军采伐所/蜥蜴人军阵地>执行侦察行动。消灭迎击的敌方蛮族，将情报带回。",0,0,0,0,0,0,0,0,0,0,0,0,170,440,440,295,155,295,20,20,20,20,20,20,295,300,175,465,465,170,20,20,20,20,20,20,450,175,300,155,295,450,20,20,20,20,20,20,20,20,20,20,20,20
12,12,0,35,1000,25500,20,0,2,"搜索失踪人员","有友军部队成员在<switch:拉诺西亚外地/黑衣森林北部林区/北萨纳兰>失踪。在敌对势力强大的区域迅速进行搜索救援。",0,0,0,0,0,0,0,0,0,0,0,0,310,185,455,170,310,455,20,20,20,20,20,20,480,310,315,480,185,190,20,20,20,20,20,20,170,465,190,310,465,315,20,20,20,20,20,20,20,20,20,20,20,20
13,12,0,35,1000,27000,20,0,2,"与同盟军的联合演习","与<switch:恒辉队/黑涡团/双蛇党>的联合演习即将开始。作为<switch:黑涡团/双蛇党/恒辉队>的代表参加演习，并展现我军优秀的能力。",14945,14945,14945,14945,14945,14945,1,1,1,1,1,1,455,310,170,310,185,455,20,20,20,20,20,20,190,480,480,185,310,315,20,20,20,20,20,20,315,170,310,465,465,190,20,20,20,20,20,20,20,20,20,20,20,20
14,13,15,40,4000,30000,0,0,2,"重要任务：夺取水晶","为了阻止敌对蛮族召唤<switch:泰坦/迦楼罗/伊弗利特>，在<switch:地灵军试掘地/鸟人军采伐所/蜥蜴人军阵地>开始了夺取水晶的作战。与友军部队合作，潜入地方据点，夺取目标物品。",0,0,0,0,0,0,0,0,0,0,0,0,315,315,315,315,315,315,0,0,0,0,0,0,325,325,325,325,325,325,0,0,0,0,0,0,340,340,340,340,340,340,0,0,0,0,0,0,100,100,100,100,100,100
15,16,0,40,4000,30000,0,0,2,"重要任务：夺取水晶","为了阻止敌对蛮族召唤<switch:泰坦/迦楼罗/伊弗利特>，在<switch:地灵军试掘地/鸟人军采伐所/蜥蜴人军阵地>开始了夺取水晶的作战。与友军部队合作，潜入地方据点，夺取目标物品。",0,0,0,0,0,0,0,0,0,0,0,0,315,315,315,315,315,315,0,0,0,0,0,0,325,325,325,325,325,325,0,0,0,0,0,0,340,340,340,340,340,340,0,0,0,0,0,0,100,100,100,100,100,100
16,15,0,40,2000,30000,20,0,3,"强袭蛮族据点","对<switch:武伽玛罗武装矿山/风扬殖民地/不悔战阵>的强袭作战开始了。立即与友军部队汇合，助其一臂之力。",14946,14946,14946,14946,14946,14946,5,5,5,5,5,5,530,530,385,245,385,265,20,20,20,20,20,20,385,275,560,560,265,385,20,20,20,20,20,20,275,385,245,385,540,540,20,20,20,20,20,20,20,20,20,20,20,20
17,15,0,40,2000,30000,20,0,3,"取缔违法武器交易","谍报部门传来了违法武器贩卖的情报。前往指定的交易场所，将犯罪者一网打尽。",14947,14947,14947,14947,14947,14947,5,5,5,5,5,5,385,245,385,265,530,530,20,20,20,20,20,20,560,560,265,385,385,275,20,20,20,20,20,20,245,385,540,540,275,385,20,20,20,20,20,20,20,20,20,20,20,20
18,15,0,40,2000,30000,20,0,3,"强行侦查帝国军据点","命令队员对<switch:帝国西方堡/帝国中央堡/帝国南方堡>进行强行侦查。带回该地帝国军部队动向的相关情报。",14948,14948,14948,14948,14948,14948,5,5,5,5,5,5,385,265,530,530,385,245,20,20,20,20,20,20,265,385,385,275,560,560,20,20,20,20,20,20,540,540,275,385,245,385,20,20,20,20,20,20,20,20,20,20,20,20
19,15,0,40,2000,30000,20,0,3,"追踪帝国军逃兵","有目击情报称，在<switch:东拉诺西亚/黑衣森林东部林区/北萨纳兰>发现帝国军逃兵。立即前往现场，搜寻并捕获可疑人物。",14949,14949,14949,14949,14949,14949,5,5,5,5,5,5,530,385,245,385,265,530,20,20,20,20,20,20,275,560,560,265,385,385,20,20,20,20,20,20,385,245,385,540,540,275,20,20,20,20,20,20,20,20,20,20,20,20
