Index,0 [UBYTE] [0x0],1 [UBYTE] [0x2],2 [UBYTE] [0x4],3 [UBYTE] [0x6],4 [UBYTE] [0x8],5 [UBYTE] [0xA],6 [UBYTE] [0xC],7 [UBYTE] [0xE],8 [UBYTE] [0x10],9 [UBYTE] [0x12],10 [UBYTE] [0x14],11 [UBYTE] [0x16],12 [UBYTE] [0x18],13 [UBYTE] [0x1A],14 [UBYTE] [0x1C],15 [UBYTE] [0x1E],16 [UBYTE] [0x20],17 [UBYTE] [0x22],18 [UBYTE] [0x24],19 [UBYTE] [0x26],20 [UBYTE] [0x28],21 [UBYTE] [0x2A],22 [UBYTE] [0x2C],23 [UBYTE] [0x2E],24 [UBYTE] [0x30],25 [UBYTE] [0x32],26 [UBYTE] [0x34],27 [UBYTE] [0x36],28 [UBYTE] [0x38],29 [UBYTE] [0x3A],30 [UBYTE] [0x3C],31 [UBYTE] [0x3E],32 [UBYTE] [0x1],33 [UBYTE] [0x3],34 [UBYTE] [0x5],35 [UBYTE] [0x7],36 [UBYTE] [0x9],37 [UBYTE] [0xB],38 [UBYTE] [0xD],39 [UBYTE] [0xF],40 [UBYTE] [0x11],41 [UBYTE] [0x13],42 [UBYTE] [0x15],43 [UBYTE] [0x17],44 [UBYTE] [0x19],45 [UBYTE] [0x1B],46 [UBYTE] [0x1D],47 [UBYTE] [0x1F],48 [UBYTE] [0x21],49 [UBYTE] [0x23],50 [UBYTE] [0x25],51 [UBYTE] [0x27],52 [UBYTE] [0x29],53 [UBYTE] [0x2B],54 [UBYTE] [0x2D],55 [UBYTE] [0x2F],56 [UBYTE] [0x31],57 [UBYTE] [0x33],58 [UBYTE] [0x35],59 [UBYTE] [0x37],60 [UBYTE] [0x39],61 [UBYTE] [0x3B],62 [UBYTE] [0x3D],63 [UBYTE] [0x3F]
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,14,15,16,17,18,19,20,21,21,22,23,24,25,26,27,28,29
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,29,30,31
5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30
6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31
7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31
8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30
9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31
10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30
11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31
