Index,0 [BBOOL] [0x0]
0,false
1,false
2,false
3,false
4,false
5,false
6,false
7,false
8,false
9,false
10,false
11,false
12,false
13,false
14,false
15,false
16,false
17,false
18,false
19,false
20,false
21,false
22,false
23,false
24,false
25,true
26,true
27,true
28,true
29,true
30,true
31,true
32,true
33,true
34,true
35,true
36,true
37,true
38,true
39,true
40,true
41,true
42,true
43,true
44,true
45,true
46,true
47,false
48,false
49,true
50,true
51,true
52,false
53,true
54,true
55,true
56,true
57,false
58,true
59,true
60,true
61,true
62,true
63,true
64,true
65,true
66,true
67,true
68,true
69,true
70,true
71,true
72,true
73,true
74,true
75,true
76,true
77,true
78,true
79,true
80,true
81,true
82,true
83,true
84,true
85,true
86,true
87,true
88,true
89,true
90,true
91,false
92,false
93,false
94,false
95,false
