Index,0 [STRING] [0x0],1 [UBYTE] [0x4],2 [UBYTE] [0x5],3 [BBOOL] [0xE],4 [BOOL] [0x6],5 [BOOL] [0x7],6 [BOOL] [0x8],7 [BOOL] [0x9],8 [BOOL] [0xA],9 [BOOL] [0xB],10 [BOOL] [0xC],11 [BOOL] [0xD]
0,"1-5",0,0,false,true,true,true,true,true,true,true,true
1,"6-10",3,6,false,true,true,true,true,true,true,true,true
2,"11-15",8,11,false,true,true,true,true,true,true,true,true
3,"16-20",13,16,false,true,true,true,true,true,true,true,true
4,"21-25",18,21,false,true,true,true,true,true,true,true,true
5,"26-30",23,26,false,true,true,true,true,true,true,true,true
6,"31-35",28,31,false,true,true,true,true,true,true,true,true
7,"36-40",33,36,false,true,true,true,true,true,true,true,true
8,"41-45",38,41,false,true,true,true,true,true,true,true,true
9,"46-50",43,46,false,true,true,true,true,true,true,true,true
10,"51-55",48,51,false,true,true,true,true,true,true,true,true
11,"56-60",53,56,false,true,true,true,true,true,true,true,true
12,"61-65",58,61,false,true,true,true,true,true,true,true,true
13,"66-70",63,66,false,true,true,true,true,true,true,true,true
14,"71-75",71,71,false,true,true,true,true,true,true,true,true
15,"76-80",76,76,false,true,true,true,true,true,true,true,true
16,"81-85",81,81,false,true,true,true,true,true,true,true,true
17,"86-90",86,86,false,true,true,true,true,true,true,true,true
18,"91-95",91,91,false,true,true,true,true,true,true,true,true
19,"96-100",96,96,false,true,true,true,true,true,true,true,true
20,"101-105",101,101,false,true,true,true,true,true,true,true,true
21,"106-110",106,106,false,true,true,true,true,true,true,true,true
22,"111-115",111,111,false,true,true,true,true,true,true,true,true
23,"116-120",116,116,false,true,true,true,true,true,true,true,true
24,"121-125",121,121,false,true,true,true,true,true,true,true,true
25,"126-130",126,126,false,true,true,true,true,true,true,true,true
26,"131-135",131,131,false,true,true,true,true,true,true,true,true
27,"136-140",136,136,false,true,true,true,true,true,true,true,true
28,"141-145",141,141,false,true,true,true,true,true,true,true,true
29,"146-150",146,146,false,true,true,true,true,true,true,true,true
30,"151-155",151,151,false,true,true,true,true,true,true,true,true
31,"156-160",156,156,false,true,true,true,true,true,true,true,true
32,"161-175",161,161,false,true,true,true,true,true,true,true,true
33,"166-170",166,166,false,true,true,true,true,true,true,true,true
34,"171-175",171,171,false,true,true,true,true,true,true,true,true
35,"176-180",176,176,false,true,true,true,true,true,true,true,true
36,"181-185",181,181,false,true,true,true,true,true,true,true,true
37,"186-190",186,186,false,true,true,true,true,true,true,true,true
38,"191-195",191,191,false,true,true,true,true,true,true,true,true
39,"196-200",196,196,false,true,true,true,true,true,true,true,true
40,"[翻訳不要] レベル区分終端",255,255,false,true,true,true,true,true,true,true,true
1000,"秘籍：第1卷",50,255,true,true,true,true,true,true,true,true,true
1001,"秘籍：第2卷",50,255,true,true,true,true,true,true,true,true,true
1002,"秘籍：第3卷",50,255,true,true,true,true,true,true,true,true,true
1003,"秘籍：第4卷",60,255,true,true,true,true,true,true,true,true,true
1004,"秘籍：第5卷",70,255,true,true,true,true,true,true,true,true,true
1005,"秘籍：第6卷",70,255,true,true,true,true,true,true,true,true,true
1006,"秘籍：其他",15,255,true,true,true,true,true,true,true,true,true
1007,"房屋1",12,255,false,true,true,true,true,true,true,true,true
1008,"房屋2",12,255,false,true,true,true,true,true,true,true,true
1009,"染剂",30,255,false,true,true,true,true,true,true,true,true
1010,"其他",50,255,false,true,true,true,true,true,true,true,true
1011,"职业任务",61,255,false,true,true,true,true,true,true,true,true
1012,"鸟人族",1,255,false,true,true,true,true,true,true,true,true
1013,"莫古力族",50,255,false,true,true,true,true,true,true,true,true
1014,"鲶鱼精族",60,255,false,true,true,true,true,true,true,true,true
1015,"老主顾交易",60,255,false,true,true,true,true,true,true,true,true
1016,"[翻訳不要] SPレベル区分終端",255,255,false,true,true,true,true,true,true,true,true
2000,"传承录",255,50,false,true,true,true,true,true,true,true,true
2001,"",255,255,false,true,true,true,true,true,true,true,true
