Index,0 [USHORT] [0x14],1 [STRING] [0x0],2 [BYTE] [0x8],3 [STRING] [0x4],4 [BYTE] [0x9],5 [BYTE] [0xA],6 [BYTE] [0xB],7 [BYTE] [0xC],8 [BYTE] [0xD],9 [UINT] [0x10]
0,0,"无",0,"",0,0,0,0,0,0
1,150,"中立",0,"",0,0,0,0,0,-6379265
2,360,"承认",0,"",0,0,0,0,0,-11747585
3,510,"友好",0,"",0,0,0,0,0,-15018282
4,0,"信赖",0,"",0,0,0,0,0,-13708923
5,0,"尊敬",0,"",0,0,0,0,0,-10955230
6,0,"名誉",0,"",0,0,0,0,0,-4070098
7,0,"誓约",0,"",0,0,0,0,0,-660633
8,0,"盟友",0,"",0,0,0,0,0,-936101
9,0,"",0,"",0,0,0,0,0,0
10,0,"",0,"",0,0,0,0,0,0
