Index,0 [UBYTE] [0x24],1 [UINT] [0x0],2 [UBYTE] [0x25],3 [UINT] [0x4],4 [BOOL] [0x2F],5 [UBYTE] [0x26],6 [UINT] [0x8],7 [BOOL] [0x30],8 [UBYTE] [0x27],9 [UINT] [0xC],10 [BOOL] [0x31],11 [UBYTE] [0x28],12 [UINT] [0x10],13 [BOOL] [0x32],14 [UBYTE] [0x29],15 [UINT] [0x14],16 [BOOL] [0x33],17 [UBYTE] [0x2A],18 [UINT] [0x18],19 [BOOL] [0x34],20 [UBYTE] [0x2B],21 [UINT] [0x1C],22 [BOOL] [0x35],23 [UBYTE] [0x2C],24 [UINT] [0x20],25 [BOOL] [0x36],26 [UBYTE] [0x2D],27 [UBYTE] [0x2E]
0,0,0,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0
1,1,15841,1,12839,false,5,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,1
2,2,15841,1,12841,false,5,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,2
3,3,15841,1,12913,false,1,12912,false,1,12233,false,1,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,3
4,4,15841,1,12236,false,1,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,4
5,5,15841,1,5637,false,1,5647,false,1,5657,false,1,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,5
6,6,15841,1,5642,false,1,5652,false,1,5662,false,1,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,6
7,7,15841,1,8145,false,3,8146,false,2,8148,false,3,8149,false,2,0,false,0,0,false,0,0,false,0,0,false,0,7
8,8,15841,1,10124,false,5,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,8
9,9,15841,1,6159,false,1,6163,false,1,9378,false,1,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,9
10,10,15841,1,7885,false,5,6268,false,5,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,11
11,11,15841,1,13626,false,2,9376,false,5,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,12
12,12,15841,1,6161,false,1,7160,false,1,8020,false,1,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,10
13,0,0,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false,0,0
