Index,0 [SHORT] [0x0],1 [SHORT] [0x2],2 [UBYTE] [0x18],3 [SHORT] [0x4],4 [SHORT] [0xE],5 [UBYTE] [0x19],6 [SHORT] [0x6],7 [SHORT] [0x10],8 [UBYTE] [0x1A],9 [SHORT] [0x8],10 [SHORT] [0x12],11 [UBYTE] [0x1B],12 [SHORT] [0xA],13 [SHORT] [0x14],14 [UBYTE] [0x1C],15 [SHORT] [0xC],16 [SHORT] [0x16]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-785,516,1,-611,434,3,-463,349,2,-467,543,0,0,0,0,0,0
2,420,-908,1,331,-740,2,317,-664,1,533,-620,0,0,0,0,0,0
3,577,-781,1,453,-610,1,582,-591,2,525,-499,0,0,0,0,0,0
4,869,-154,1,596,-528,2,655,-264,1,727,-105,0,0,0,0,0,0
5,25,749,1,-4,652,2,123,532,3,200,494,0,0,0,0,0,0
6,758,375,1,517,362,2,485,439,2,373,469,0,0,0,0,0,0
7,-4,-766,2,87,-566,1,-3,-543,1,-154,-522,0,0,0,0,0,0
8,-448,-674,1,-289,-466,2,-322,-393,3,-165,-313,0,0,0,0,0,0
9,-710,-311,1,-475,-204,1,-253,-330,1,-447,-310,0,0,0,0,0,0
10,-785,516,1,-566,474,2,-490,357,1,-454,444,3,-342,459,0,0,0
11,420,-908,1,337,-748,3,303,-640,3,583,-557,1,561,-610,0,0,0
12,577,-781,1,453,-610,1,531,-621,1,255,-751,2,303,-737,0,0,0
13,869,-154,1,670,-158,3,673,-246,1,522,-507,2,727,-105,0,0,0
14,25,749,1,-1,589,1,-31,659,2,117,516,2,251,549,0,0,0
15,758,375,1,517,362,1,430,375,3,436,459,1,598,360,0,0,0
16,-4,-766,3,87,-566,1,-2,-543,2,-159,-477,1,-117,-545,0,0,0
17,-448,-674,2,-289,-464,1,-265,-404,1,-196,-424,3,-164,-311,0,0,0
18,-710,-311,1,-474,-265,1,-333,-331,2,-254,-332,3,-449,-152,0,0,0
19,-785,516,2,-620,420,3,-476,350,2,-333,417,2,-466,445,0,0,0
20,420,-908,2,314,-649,1,532,-622,1,457,-616,3,297,-733,0,0,0
21,577,-781,1,544,-651,2,529,-509,1,599,-531,1,692,-293,0,0,0
22,869,-154,1,676,-159,1,673,-246,2,605,-574,1,730,-105,0,0,0
23,25,749,1,-6,655,2,-3,591,3,138,516,1,189,585,0,0,0
24,758,375,1,521,355,1,430,375,1,435,459,1,259,513,0,0,0
25,-4,-766,2,91,-563,1,-136,-641,1,-2,-540,1,-117,-546,0,0,0
26,-448,-674,2,-289,-464,1,-265,-404,1,-196,-424,2,-227,-511,0,0,0
27,-710,-311,2,-475,-202,1,-355,-421,2,-448,-300,2,-333,-329,0,0,0
