Index,0 [UBYTE] [0x4],1 [USHORT] [0x0],2 [UBYTE] [0x5],3 [UBYTE] [0x6],4 [UBYTE] [0x7],5 [UBYTE] [0x8],6 [UBYTE] [0x9],7 [UBYTE] [0xA],8 [UBYTE] [0xB],9 [USHORT] [0x2],10 [BBOOL] [0x16],11 [BBOOL] [0x16],12 [BBOOL] [0x16],13 [UBYTE] [0xC],14 [BBOOL] [0x16],15 [BBOOL] [0x16],16 [BBOOL] [0x16],17 [BOOL] [0xD],18 [BOOL] [0xE],19 [BOOL] [0xF],20 [BOOL] [0x10],21 [BOOL] [0x11],22 [BOOL] [0x12],23 [BOOL] [0x13],24 [BOOL] [0x14],25 [BOOL] [0x15],26 [BBOOL] [0x16],27 [BBOOL] [0x16]
0,0,0,0,0,0,0,0,0,0,0,false,true,true,0,true,true,true,false,false,false,false,false,false,false,false,false,false,false
1,1,1,2,0,1,2,0,0,24,0,true,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
2,1,2,2,0,1,2,0,0,16,0,true,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
3,1,3,2,0,1,2,0,0,17,0,true,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
4,1,4,2,0,1,2,0,0,15,0,true,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
5,1,5,2,0,1,2,0,0,47,0,true,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
6,1,6,2,0,1,2,0,0,28,0,true,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
7,1,7,2,0,1,2,0,0,20,0,true,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
8,1,8,2,0,1,2,0,0,32,0,true,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
9,1,9,2,0,1,2,0,0,35,0,true,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
10,1,10,2,0,2,2,0,0,50,45,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
11,1,11,2,0,1,2,0,0,41,0,true,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
12,1,12,2,0,1,2,0,0,38,0,true,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
13,1,13,2,0,1,2,0,0,44,0,true,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
14,1,14,2,0,2,2,0,0,50,45,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
15,1,15,2,0,3,3,0,0,50,42,true,true,true,0,true,true,true,false,false,true,false,false,false,false,false,true,false,false
16,1,16,2,0,3,3,0,0,50,42,true,true,true,0,true,true,true,false,false,true,false,false,false,false,false,true,false,false
17,1,17,2,0,2,2,0,0,50,48,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
18,1,18,2,0,2,2,0,0,50,48,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
19,1,19,2,0,2,2,0,0,50,48,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
20,1,20,2,0,2,2,0,0,50,55,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
21,1,21,2,0,2,2,0,0,50,55,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
22,1,22,2,0,2,2,0,0,50,55,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
23,1,23,2,0,2,2,0,0,50,70,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
24,1,24,2,0,2,2,0,0,50,70,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
25,1,25,2,0,2,2,0,0,50,70,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
26,1,26,2,0,2,2,0,0,50,80,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
27,1,27,2,0,2,2,0,0,50,80,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
28,1,28,2,0,2,2,0,0,50,80,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
29,1,29,2,0,2,2,0,0,50,90,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
30,1,30,2,0,2,2,0,0,50,90,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
31,1,31,2,1,1,2,0,0,59,0,false,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
32,1,32,2,0,2,2,0,0,50,90,true,true,true,0,true,true,true,false,true,false,false,false,false,false,false,true,false,false
33,1,33,2,1,8,2,0,0,60,145,false,true,true,0,true,true,true,false,false,false,false,false,false,false,true,true,false,false
34,1,34,2,1,1,2,0,0,57,0,false,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
35,1,35,2,1,8,2,0,0,60,145,false,true,true,0,true,true,true,false,false,false,false,false,false,false,true,true,false,false
36,1,36,2,1,1,2,0,0,51,0,false,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
37,1,37,2,1,1,2,0,0,53,0,false,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
38,1,38,2,1,8,2,0,0,60,142,false,true,true,0,true,true,true,false,false,false,false,false,false,false,true,true,false,false
39,1,39,2,1,1,2,0,0,55,0,false,true,true,0,true,true,true,true,false,false,false,false,false,false,false,true,false,false
40,1,40,2,1,8,2,0,0,60,170,false,true,true,0,true,true,true,false,false,false,false,false,false,false,true,true,false,false
41,1,41,2,1,8,2,0,0,60,170,false,true,true,0,true,true,true,false,false,false,false,false,false,false,true,true,false,false
42,1,10001,3,0,4,2,0,0,10,0,false,true,false,0,true,true,true,false,false,false,true,false,false,false,false,true,false,false
