Index,0 [FLOAT] [0x0],1 [FLOAT] [0x4],2 [FLOAT] [0x8],3 [FLOAT] [0xC],4 [FLOAT] [0x10],5 [FLOAT] [0x14],6 [FLOAT] [0x18],7 [FLOAT] [0x1C],8 [FLOAT] [0x20],9 [FLOAT] [0x24],10 [FLOAT] [0x28],11 [FLOAT] [0x2C],12 [BBOOL] [0x3B],13 [FLOAT] [0x30],14 [FLOAT] [0x34],15 [BYTE] [0x38],16 [BYTE] [0x39],17 [BYTE] [0x3A],18 [BBOOL] [0x3B]
1,60.0,60.0,30.0,30.0,60.0,0.0,30.0,30.0,30.0,30.0,60.0,0.0,false,0.3,0.3,0,0,0,false
2,60.0,60.0,30.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,0.3,0.8,0,2,2,false
3,60.0,60.0,30.0,0.0,60.0,0.0,30.0,30.0,0.0,0.0,60.0,0.0,true,0.0,0.3,0,0,2,false
4,60.0,60.0,30.0,0.0,60.0,0.0,60.0,30.0,0.0,0.0,60.0,0.0,true,0.4,0.6,0,0,1,true
5,60.0,60.0,30.0,0.0,60.0,0.0,30.0,30.0,0.0,0.0,60.0,0.0,true,0.0,0.3,0,0,1,true
6,60.0,60.0,30.0,0.0,60.0,0.0,30.0,30.0,0.0,0.0,60.0,0.0,true,0.0,0.3,0,0,1,true
7,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.1,0,2,2,false
8,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,0.0,0.0,0,2,2,false
9,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,0.1,0.3,0,2,2,false
10,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,0.3,0.3,0,2,2,false
11,60.0,60.0,30.0,30.0,60.0,0.0,30.0,30.0,30.0,30.0,60.0,0.0,false,0.3,0.3,0,0,0,false
12,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,0.3,0.3,0,2,2,false
13,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,0.3,0.3,0,2,2,false
14,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.3,0,2,2,false
