Index,0 [UINT] [0x0],1 [USHORT] [0x4],2 [USHORT] [0x6]
1966080,0,0,0
1966081,4573387,339,1200
1966082,4573396,339,1204
1966083,4573404,339,1205
1966084,4573408,339,1206
1966085,4573416,339,1207
1966086,4656718,339,1156
1966087,4656721,339,1150
1966088,6472423,339,1805
1966089,5347562,339,1168
1966090,5347565,339,1171
1966091,5347567,339,1172
1966092,5347569,339,1176
1966093,5347571,339,1175
1966094,5347573,339,1174
1966095,5347575,339,1173
1966096,6472426,339,1806
1966097,4573435,340,1226
1966098,4573443,340,1223
1966099,4573451,340,1220
1966100,4573456,340,1224
1966101,4573473,340,1225
1966102,4660260,340,1151
1966103,4660263,340,1222
1966104,6472421,340,1807
1966105,5364262,340,1187
1966106,5364264,340,1181
1966107,5364266,340,1180
1966108,5364268,340,1184
1966109,5364270,340,1183
1966110,5364272,340,1182
1966111,5364274,340,1186
1966112,6472422,340,1808
1966113,4573499,341,1213
1966114,4573636,341,1214
1966115,4573640,341,1215
1966116,4573647,341,1210
1966117,4573656,341,1153
1966118,4656726,341,1152
1966119,4656730,341,1216
1966120,6472443,341,1809
1966121,5362858,341,1198
1966122,5362859,341,1195
1966123,5362861,341,1194
1966124,5362863,341,1190
1966125,5362865,341,1197
1966126,5362867,341,1193
1966127,5362869,341,1196
1966128,6472444,341,1810
