Index,0 [SHORT] [0x14],1 [INT] [0x8],2 [INT] [0xC],3 [USHORT] [0x10],4 [USHORT] [0x12],5 [BBOOL] [0x16],6 [FLOAT] [0x0],7 [FLOAT] [0x4],8 [BBOOL] [0x16],9 [BBOOL] [0x16]
0,0,0,0,0,0,false,0.0,1.0,false,true
1,639,0,0,0,0,false,0.0,1.0,false,true
2,738,0,0,2443,0,false,0.0,1.0,false,true
3,868,0,0,0,0,false,0.0,1.0,false,true
4,344,0,0,0,0,false,0.0,1.0,false,true
5,869,0,0,0,0,false,0.0,1.0,false,true
6,836,0,0,3139,0,false,0.0,1.0,false,true
7,0,465,248,2360,0,false,0.0,1.0,true,true
8,0,466,249,2360,0,false,0.0,1.0,true,true
9,0,467,250,2360,0,false,0.0,1.0,true,true
10,0,468,251,2360,0,false,0.0,1.0,true,true
11,0,469,252,2360,0,false,0.0,1.0,true,true
12,921,0,0,2360,0,false,0.9,1.0,false,true
13,920,0,0,2360,0,false,0.9,1.0,false,true
14,923,0,0,2360,0,false,0.6,1.0,false,true
15,924,0,0,2360,0,false,0.5,0.6,false,true
16,922,0,0,2360,0,false,0.3,1.0,false,true
17,652,0,0,0,0,false,0.0,2.0,false,true
18,1022,0,0,0,0,false,0.0,2.0,false,true
19,1023,0,0,3504,0,false,0.0,2.0,false,true
20,1085,0,0,0,0,false,0.0,0.7,false,false
21,1086,0,0,0,0,false,0.0,0.7,false,false
22,915,0,0,0,0,false,0.0,1.0,false,false
23,730,0,0,0,0,false,0.0,1.7,false,false
24,1061,0,0,0,0,false,0.0,3.5,false,false
25,1062,0,0,0,0,false,0.0,2.2,false,false
26,1300,0,0,0,0,false,0.0,3.0,false,false
27,89,0,656,0,0,false,0.0,1.0,false,true
28,0,522,959,0,0,false,0.0,1.0,false,true
29,558,0,0,0,0,false,0.0,2.5,false,false
30,16,0,771,0,0,false,0.0,2.0,false,false
31,658,0,0,0,0,false,0.0,1.5,false,false
32,976,0,0,0,0,false,0.0,0.7,false,false
33,1087,0,0,0,0,false,0.0,0.7,false,false
34,1348,0,0,0,0,false,0.0,1.0,false,false
35,1350,0,0,0,0,false,0.0,1.0,false,false
36,1349,0,0,0,0,false,0.0,1.0,false,false
37,1455,0,0,5475,5476,false,0.0,1.0,false,true
38,1456,0,0,5477,5476,false,1.1,1.0,false,true
39,1363,0,0,0,0,false,0.0,3.5,false,false
40,1531,0,1198,0,0,false,0.7,2.7,false,false
41,1533,0,0,0,0,false,0.0,1.0,false,false
42,1643,0,0,6273,0,false,0.0,1.0,false,true
43,1644,0,427,6274,0,false,1.1,1.0,false,true
44,1762,0,0,0,0,false,0.0,1.0,false,false
45,1659,0,0,0,0,false,0.0,1.0,false,true
46,1660,0,0,0,0,false,0.0,1.0,false,true
47,1760,0,0,0,0,false,0.0,1.0,false,true
48,1657,0,0,0,0,false,0.0,1.0,false,true
49,1677,0,1235,6871,0,false,0.7,1.0,false,true
50,1664,0,0,0,0,false,0.0,3.5,false,false
51,1665,0,0,0,0,false,0.0,2.2,false,false
52,1666,0,0,0,0,false,0.0,2.6,false,false
53,652,0,0,0,0,false,0.0,2.0,false,true
