Index,0 [USHORT] [0x0],1 [USHORT] [0x2],2 [USHORT] [0x4],3 [USHORT] [0x6],4 [USHORT] [0x8],5 [USHORT] [0xA],6 [USHORT] [0xC],7 [USHORT] [0xE],8 [USHORT] [0x10],9 [USHORT] [0x12],10 [USHORT] [0x14],11 [USHORT] [0x16]
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1200,1100,1100,1200,1200,1100,1100,1200,1200,1100,1100,1200
2,1300,1150,0,1200,1200,1100,0,1200,1200,1100,0,1200
3,1300,1150,0,1200,1200,1100,0,1200,1200,1100,0,1200
4,1300,1150,0,1200,1300,1100,0,1200,1300,1100,0,1200
5,1300,1150,0,1200,1300,1150,0,1200,1300,1150,0,1200
6,1300,1150,0,1200,1200,1100,0,1200,1200,1100,0,1200
7,1300,1150,0,1200,1200,1100,0,1200,1200,1100,0,1200
8,1300,1150,0,1200,1300,1150,0,1200,1300,1150,0,1200
9,1300,1150,0,1200,1300,1150,0,1200,1300,1150,0,1200
10,1500,1250,0,1200,3600,1900,0,1200,1500,1250,0,1200
11,1500,1250,0,1200,3800,2000,0,1200,1500,1250,0,1200
12,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0
