Index,0 [STRING] [0x0],1 [UBYTE] [0x8],2 [BBOOL] [0xF],3 [STRING] [0x4],4 [BYTE] [0xB],5 [BYTE] [0xD],6 [UBYTE] [0x9],7 [BYTE] [0xC],8 [BYTE] [0xE],9 [UBYTE] [0xA]
0,"",0,true,"",-1,1,0,-1,1,0
1,"",0,false,"",0,0,0,0,0,0
2,"",0,false,"",0,0,0,0,0,0
3,"偏属性以太",4,true,"ContentGaugeMax_negative",80,1,2,-1,1,0
4,"以太填充率",2,true,"ContentGaugeMax_negative",-1,1,0,-1,1,0
5,"大地之契约",3,true,"ContentGaugeMax_negative",-1,1,0,-1,1,0
6,"捡到的钱",2,true,"ContentGaugeMax_negative",-1,1,0,-1,1,0
7,"魅惑拥抱",4,true,"ContentGaugeMax_negative",-1,1,0,-1,1,0
8,"哈修马利姆的魔力",3,true,"ContentGaugeMax_negative",-1,1,0,-1,1,0
9,"巴哈姆特的以太",2,true,"ContentGaugeMax_negative",-1,1,0,-1,1,0
10,"虚无",2,true,"ContentGaugeMax_negative",-1,1,0,-1,1,0
11,"芙朵拉的以太",1,true,"ContentGaugeMax_negative",-1,1,0,-1,1,0
12,"马提乌斯的以太",1,true,"ContentGaugeMax_negative",-1,1,0,-1,1,0
13,"以太加速度",2,true,"ContentGaugeMax_negative",-1,1,0,-1,1,0
14,"玄武的灵气",2,true,"ContentGaugeMax_negative",-1,1,0,-1,1,0
15,"心缘之力",2,false,"",60,1,3,90,1,1
16,"坠地",3,false,"ContentGaugeMax_positive",30,-1,2,-1,1,0
17,"怨念",1,true,"ContentGaugeMax_negative",50,1,3,80,1,2
18,"齐天大圣的妖力",2,true,"ContentGaugeMax_negative",-1,1,0,-1,1,0
19,"究极神兵的以太",2,true,"ContentGaugeMax_negative",-1,1,0,-1,1,0
20,"鬼龙雅兹玛特的魔力",2,true,"ContentGaugeMax_negative",-1,1,0,-1,1,0
21,"魔人贝利亚斯的魔力",2,true,"ContentGaugeMax_negative",-1,1,0,-1,1,0
