Index,0 [UBYTE] [0x12],1 [BBOOL] [0x13],2 [USHORT] [0x10],3 [STRING] [0x0],4 [STRING] [0x4],5 [STRING] [0x8],6 [STRING] [0xC]
0,0,false,0,"","","",""
1,0,false,0,"","","",""
2,0,false,0,"","","",""
3,0,false,0,"","","",""
4,0,false,0,"","","",""
5,0,false,0,"","","",""
6,0,false,0,"","","",""
7,0,false,0,"","","",""
8,0,false,0,"","","",""
9,0,false,0,"","","",""
10,0,false,0,"","","",""
11,0,false,0,"","","",""
12,0,false,0,"","","",""
13,0,false,0,"","","",""
14,0,false,0,"","","",""
15,0,false,0,"","","",""
16,0,false,0,"","","",""
17,0,false,0,"","","",""
18,0,false,0,"","","",""
19,0,false,0,"","","",""
20,0,false,0,"","","",""
21,0,false,0,"","","",""
22,0,false,0,"","","",""
23,0,false,0,"","","",""
24,0,false,0,"","","",""
25,0,false,0,"","","",""
26,0,false,0,"","","",""
27,0,false,0,"","","",""
28,0,false,0,"","","",""
29,0,false,0,"","","",""
30,0,false,0,"","","",""
31,0,false,0,"","","",""
32,0,false,0,"","","",""
33,0,false,0,"","","",""
34,0,false,0,"","","",""
35,0,false,0,"","","",""
36,0,false,0,"","","",""
37,0,false,0,"","","",""
38,0,false,0,"","","",""
39,0,false,0,"","","",""
40,0,false,0,"","","",""
41,0,false,0,"","","",""
42,0,false,0,"","","",""
43,0,false,0,"","","",""
44,0,false,0,"","","",""
45,0,false,0,"","","",""
46,0,false,0,"","","",""
47,0,false,0,"","","",""
48,0,false,0,"","","",""
49,0,false,0,"","","",""
50,0,false,0,"","","",""
