Index,0 [UBYTE] [0x36],1 [STRING] [0x0],2 [STRING] [0x4],3 [UBYTE] [0x37],4 [USHORT] [0x30],5 [UINT] [0x8],6 [USHORT] [0x32],7 [UBYTE] [0x38],8 [UBYTE] [0x39],9 [INT] [0xC],10 [INT] [0x10],11 [INT] [0x14],12 [INT] [0x18],13 [INT] [0x1C],14 [INT] [0x20],15 [INT] [0x24],16 [INT] [0x28],17 [INT] [0x2C],18 [USHORT] [0x34],19 [UBYTE] [0x3A]
0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,"胜利的荣光1","讨伐100个敌人。",5,0,0,262,3,1,11,100,0,0,0,0,0,0,0,1,1
2,1,"胜利的荣光2","讨伐500个敌人。",5,0,0,262,3,1,11,500,0,0,0,0,0,0,0,2,1
3,1,"胜利的荣光3","讨伐1000个敌人。",10,0,0,262,3,1,11,1000,0,0,0,0,0,0,0,3,1
4,1,"胜利的荣光4","讨伐5000个敌人。",10,0,0,262,3,1,11,5000,0,0,0,0,0,0,0,4,1
5,1,"胜利的荣光5","讨伐10000个敌人。",10,0,0,262,3,1,11,10000,0,0,0,0,0,0,0,5,1
6,1,"胜利的荣光6","讨伐50000个敌人。",10,9,0,262,3,1,11,50000,0,0,0,0,0,0,0,6,1
7,1,"战争女神的垂青","讨伐100000个敌人。",30,0,2907,2554,3,1,11,100000,0,0,0,0,0,0,0,7,1
8,52,"拉诺西亚的精英猎手","成功讨伐以下恶名精英：巴洛梅兹、狡黠赛克斯、暴食格特鲁德、爆弹男爵、未名士兵之灵、六爪长老、撼天猛牛。",10,0,0,62904,2,0,0,0,0,0,0,0,0,0,0,0,1
9,52,"黑衣森林的精英猎手","成功讨伐以下恶名精英：阿路修、波利特女王、顽猴杰克、西洛可、派亚、大肚子豪特珀克斯、瘟疫王子。",10,0,0,62904,2,0,0,0,0,0,0,0,0,0,0,0,1
10,52,"萨纳兰的精英猎手","成功讨伐以下恶名精英：苔角长老、仙人掌杰克、长腿老爹、弹指通柯柯卢恩、蚁巢指挥官、巴狄、蛾龙螟蜥。",10,0,0,62904,2,0,0,0,0,0,0,0,0,0,0,0,1
11,52,"库尔札斯的精英猎手","成功讨伐以下恶名精英：乌赖乌斯、爆发石火精、毛绒绒邓斯坦。",10,0,0,62904,2,0,0,0,0,0,0,0,0,0,0,0,1
12,52,"摩杜纳的精英猎手","成功讨伐以下恶名精英：邪鬼之眼哆哆雷。",10,0,0,62904,2,0,0,0,0,0,0,0,0,0,0,0,1
13,52,"斯珀谢灵窟的精英猎手","成功讨伐以下恶名精英：剪刀手谢里登、巨印瑞莫拉、独行长须豹。",10,0,0,62904,2,0,0,0,0,0,0,0,0,0,0,0,1
14,52,"蛮族精英猎手","成功讨伐以下恶名精英：刽子手罗索尔·托托罗克、烈火拳阿力古·秋、第3团高级教士兹伽。",10,0,0,62904,2,0,0,0,0,0,0,0,0,0,0,0,1
15,52,"精英杀手","成功讨伐25种不同的恶名精英。",30,10,0,62904,2,0,0,0,0,0,0,0,0,0,0,0,1
16,52,"炎神歼灭","在伊弗利特歼灭战中战胜伊弗利特。",5,0,0,62912,2,0,0,0,0,0,0,0,0,0,0,0,1
17,52,"贤王歼灭","在莫古力贤王歼灭战中战胜贤王莫古尔·莫古十二世。",5,0,0,62912,2,0,0,0,0,0,0,0,0,0,0,0,1
18,52,"风神歼灭","在迦楼罗歼灭战中战胜迦楼罗。",5,0,0,62912,2,0,0,0,0,0,0,0,0,0,0,0,1
19,12,"利剑中的领悟1","将剑术师升到10级。",5,0,0,30408,3,3,1,10,0,0,0,0,0,0,0,1,1
20,12,"利剑中的领悟2","将剑术师升到20级。",5,0,0,30408,3,3,1,20,0,0,0,0,0,0,0,2,1
21,12,"利剑中的领悟3","将剑术师升到30级。",5,0,0,30408,3,3,1,30,0,0,0,0,0,0,0,3,1
22,12,"利剑中的领悟4","将剑术师升到40级。",5,0,0,30408,3,3,1,40,0,0,0,0,0,0,0,4,1
23,12,"利剑中的领悟5","将剑术师升到50级。",5,0,0,30408,3,3,1,50,0,0,0,0,0,0,0,5,1
24,12,"斗拳中的领悟1","将格斗家升到10级。",5,0,0,31004,3,3,2,10,0,0,0,0,0,0,0,21,1
25,12,"斗拳中的领悟2","将格斗家升到20级。",5,0,0,31004,3,3,2,20,0,0,0,0,0,0,0,22,1
26,12,"斗拳中的领悟3","将格斗家升到30级。",5,0,0,31004,3,3,2,30,0,0,0,0,0,0,0,23,1
27,12,"斗拳中的领悟4","将格斗家升到40级。",5,0,0,31004,3,3,2,40,0,0,0,0,0,0,0,24,1
28,12,"斗拳中的领悟5","将格斗家升到50级。",5,0,0,31004,3,3,2,50,0,0,0,0,0,0,0,25,1
29,12,"大斧中的领悟1","将斧术师升到10级。",5,0,0,31409,3,3,3,10,0,0,0,0,0,0,0,41,1
30,12,"大斧中的领悟2","将斧术师升到20级。",5,0,0,31409,3,3,3,20,0,0,0,0,0,0,0,42,1
31,12,"大斧中的领悟3","将斧术师升到30级。",5,0,0,31409,3,3,3,30,0,0,0,0,0,0,0,43,1
32,12,"大斧中的领悟4","将斧术师升到40级。",5,0,0,31409,3,3,3,40,0,0,0,0,0,0,0,44,1
33,12,"大斧中的领悟5","将斧术师升到50级。",5,0,0,31409,3,3,3,50,0,0,0,0,0,0,0,45,1
34,12,"尖枪中的领悟1","将枪术师升到10级。",5,0,0,31816,3,3,4,10,0,0,0,0,0,0,0,61,1
