Index,0 [UBYTE] [0x6],1 [UINT] [0x0],2 [BBOOL] [0x8],3 [USHORT] [0x4],4 [UBYTE] [0x7]
0,0,0,false,0,0
1,1,4,false,100,9
2,1,4,false,200,9
3,0,4430,true,1,10
4,0,5610,false,5,0
5,0,5611,false,5,0
6,0,5612,false,1,0
7,0,5613,false,1,0
8,0,15110,false,1,0
9,0,5823,false,5,0
10,0,9345,false,1,0
11,0,5827,false,1,0
12,1,2,false,500,11
13,1,3,false,300,11
14,1,3,false,700,22
15,1,3,false,1000,45
16,1,4,false,50,18
17,1,4,false,200,25
18,0,15110,false,2,0
19,0,15110,false,5,0
20,0,15110,false,20,0
21,0,16783,false,1,0
22,0,16783,false,3,0
23,0,16783,false,15,0
24,0,14971,false,1,0
25,0,16784,false,2,0
26,0,16784,false,20,0
27,0,16899,true,1,0
28,0,16900,true,1,0
29,0,16903,true,1,0
30,0,16901,true,1,0
31,0,16905,true,1,0
32,0,16902,true,1,0
33,0,16904,true,1,0
34,0,16785,true,1,0
35,0,16786,true,1,0
36,0,16787,true,1,0
37,0,16788,true,1,0
38,0,16789,true,1,0
39,0,16790,true,1,0
40,0,16791,true,1,0
41,0,16792,true,1,0
42,0,16793,true,1,0
43,0,16794,true,1,0
44,0,16568,false,1,0
45,0,16570,false,1,0
46,1,3,false,1000,19
47,0,15110,false,2,21
48,0,15110,false,2,24
49,0,14971,false,1,21
50,0,16784,false,2,44
51,0,15110,false,5,22
52,0,16783,false,3,45
53,0,16899,true,1,28
54,0,16903,true,1,30
55,0,16905,true,1,32
56,0,16904,true,1,26
57,0,16791,true,1,20
58,0,16786,true,1,27
59,0,16900,true,1,23
60,0,16790,true,1,29
61,0,16901,true,1,26
62,0,16785,true,1,31
63,0,16902,true,1,20
64,0,16792,true,1,33
65,0,16787,true,1,26
66,0,16793,true,1,27
67,0,16794,true,1,29
68,0,16791,true,1,23
69,0,16786,true,1,20
70,0,16790,true,1,34
71,0,16792,true,1,36
72,0,16783,false,15,26
73,1,4,false,60,18
74,1,4,false,70,18
75,0,16900,true,1,37
76,0,16901,true,1,38
77,1,4,false,80,18
78,1,4,false,100,18
79,1,4,false,150,18
80,0,16791,true,1,31
81,0,16902,true,1,23
82,0,16786,true,1,33
83,0,16790,true,1,20
84,0,16899,true,1,34
85,0,16792,true,1,28
86,0,16903,true,1,36
87,0,16901,true,1,23
88,0,16905,true,1,26
89,0,16793,true,1,32
90,0,16904,true,1,37
91,0,16794,true,1,38
92,0,16791,true,1,27
93,0,16786,true,1,29
94,0,16901,true,1,20
95,0,16790,true,1,31
96,0,16902,true,1,34
97,0,16793,true,1,33
98,0,16787,true,1,23
99,0,16899,true,1,26
100,0,16793,true,1,28
101,0,16903,true,1,37
102,0,16794,true,1,30
103,0,16905,true,1,38
104,0,16791,true,1,32
105,0,15110,false,5,45
106,1,3,false,1000,44
107,0,16784,false,2,45
108,0,5827,false,15,44
109,1,3,false,1000,45
110,0,16783,false,3,44
111,0,5827,false,15,45
112,0,15110,false,5,44
113,0,16783,false,3,45
114,0,16784,false,2,44
115,0,0,false,0,0
116,0,0,false,0,0
117,0,0,false,0,0
118,0,0,false,0,0
119,0,0,false,0,0
120,0,0,false,0,0
121,0,0,false,0,0
122,0,0,false,0,0
123,0,0,false,0,0
124,0,0,false,0,0
125,0,0,false,0,0
126,0,0,false,0,0
127,0,0,false,0,0
128,0,0,false,0,0
129,0,0,false,0,0
130,0,0,false,0,0
131,0,0,false,0,0
132,0,0,false,0,0
133,0,0,false,0,0
134,0,0,false,0,0
135,0,0,false,0,0
136,0,0,false,0,0
137,0,0,false,0,0
138,0,0,false,0,0
139,0,0,false,0,0
140,0,0,false,0,0
141,0,0,false,0,0
142,0,0,false,0,0
143,0,0,false,0,0
144,0,0,false,0,0
145,0,0,false,0,0
146,0,0,false,0,0
147,0,0,false,0,0
148,0,0,false,0,0
149,0,0,false,0,0
150,0,0,false,0,0
151,0,0,false,0,0
152,0,0,false,0,0
153,0,0,false,0,0
154,0,0,false,0,0
155,0,0,false,0,0
156,0,0,false,0,0
157,0,0,false,0,0
158,0,0,false,0,0
159,0,0,false,0,0
160,0,0,false,0,0
161,0,0,false,0,0
162,0,0,false,0,0
163,0,0,false,0,0
164,0,0,false,0,0
165,0,0,false,0,0
166,0,0,false,0,0
167,0,0,false,0,0
168,0,0,false,0,0
169,0,0,false,0,0
