Index,0 [SHORT] [0x0],1 [SHORT] [0x2],2 [SHORT] [0x4],3 [SHORT] [0x6],4 [SHORT] [0x8],5 [SHORT] [0xA]
0,0,0,0,0,0,0
1,5,11,35,51,35,51
2,5,12,35,51,35,51
3,5,13,35,51,35,51
4,5,14,35,51,35,51
5,5,15,35,53,35,53
6,5,16,47,59,35,59
7,5,17,47,59,35,59
8,5,18,57,69,57,69
9,5,19,57,71,57,71
10,5,20,57,73,57,73
11,6,21,66,87,62,76
12,7,22,69,91,62,83
13,8,23,71,94,62,83
14,9,24,73,97,62,83
15,10,25,75,100,62,91
16,11,26,96,128,76,94
17,12,27,99,132,76,94
18,13,28,102,136,76,97
19,14,29,105,140,76,97
20,15,30,108,144,76,107
21,16,31,125,166,78,111
22,17,32,129,172,80,114
23,18,33,135,179,77,109
24,19,34,140,186,79,112
25,20,35,144,192,80,114
26,21,36,150,199,82,117
27,22,37,153,204,84,120
28,23,38,157,209,87,123
29,24,39,160,213,89,126
30,25,40,164,218,90,128
31,26,41,168,223,99,141
32,27,42,171,228,101,144
33,28,43,174,232,103,147
34,29,44,178,237,105,150
35,30,45,182,242,108,153
36,31,46,186,247,119,170
37,32,47,189,251,122,173
38,33,48,192,256,124,177
39,34,49,196,261,126,180
40,35,50,200,266,129,183
41,36,51,207,276,136,193
42,37,52,211,281,138,197
43,38,53,215,286,140,200
44,39,54,219,291,143,204
45,40,55,222,295,145,207
46,41,56,233,310,147,210
47,42,57,237,315,150,214
48,43,58,240,320,152,217
49,44,59,244,325,155,221
50,45,60,248,330,157,224
51,45,60,248,330,157,224
52,45,60,248,330,157,224
53,45,60,248,330,157,224
54,45,60,248,330,157,224
55,45,60,248,330,157,224
56,45,60,248,330,157,224
57,45,60,248,330,157,224
58,45,60,248,330,157,224
59,45,60,248,330,157,224
60,45,60,248,330,157,224
61,45,60,248,330,157,224
62,45,60,248,330,157,224
63,45,60,248,330,157,224
64,45,60,248,330,157,224
65,45,60,248,330,157,224
66,45,60,248,330,157,224
67,45,60,248,330,157,224
68,45,60,248,330,157,224
69,45,60,248,330,157,224
70,45,60,248,330,157,224
71,45,60,248,330,157,224
72,45,60,248,330,157,224
73,45,60,248,330,157,224
74,45,60,248,330,157,224
75,45,60,248,330,157,224
76,45,60,248,330,157,224
77,45,60,248,330,157,224
78,45,60,248,330,157,224
79,45,60,248,330,157,224
80,45,60,248,330,157,224
81,45,60,248,330,157,224
82,45,60,248,330,157,224
83,45,60,248,330,157,224
84,45,60,248,330,157,224
85,45,60,248,330,157,224
86,45,60,248,330,157,224
87,45,60,248,330,157,224
88,45,60,248,330,157,224
89,45,60,248,330,157,224
90,45,60,248,330,157,224
91,45,60,248,330,157,224
92,45,60,248,330,157,224
93,45,60,248,330,157,224
94,45,60,248,330,157,224
95,45,60,248,330,157,224
96,45,60,248,330,157,224
97,45,60,248,330,157,224
98,45,60,248,330,157,224
99,45,60,248,330,157,224
100,45,60,248,330,157,224
101,45,60,248,330,157,224
102,45,60,248,330,157,224
103,45,60,248,330,157,224
104,45,60,248,330,157,224
105,45,60,248,330,157,224
106,45,60,248,330,157,224
107,45,60,248,330,157,224
108,45,60,248,330,157,224
109,45,60,248,330,157,224
110,45,60,248,330,157,224
111,45,60,248,330,157,224
112,45,60,248,330,157,224
113,45,60,248,330,157,224
114,45,60,248,330,157,224
115,45,60,248,330,157,224
116,45,60,248,330,157,224
117,45,60,248,330,157,224
118,45,60,248,330,157,224
119,45,60,248,330,157,224
120,115,120,333,444,259,304
121,115,120,333,444,259,304
122,115,120,333,444,259,304
123,115,120,333,444,259,304
124,115,120,333,444,259,304
125,120,125,336,448,283,332
126,120,125,336,448,283,332
127,120,125,336,448,283,332
128,120,125,336,448,283,332
129,120,125,336,448,283,332
130,125,130,387,516,307,361
131,125,130,387,516,307,361
132,125,130,387,516,307,361
133,128,133,389,518,330,388
134,128,133,389,518,330,388
135,128,133,389,518,330,388
136,131,136,415,553,354,416
137,131,136,415,553,354,416
138,131,136,415,553,354,416
139,134,139,417,555,356,418
140,134,139,417,555,356,418
141,134,139,417,555,356,418
142,137,142,420,560,363,426
143,137,142,420,560,363,426
144,137,142,420,560,363,426
145,140,145,424,565,371,436
146,140,145,424,565,371,436
147,140,145,424,565,371,436
148,143,148,429,572,380,447
149,143,148,429,572,380,447
150,145,150,434,578,393,462
