Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [INT] [0x8],3 [USHORT] [0xC],4 [UBYTE] [0xE],5 [BBOOL] [0xF],6 [BBOOL] [0xF]
0,"","",405,0,0,false,true
1,"回收","收回已经招出的召唤兽",530,0,0,false,true
2,"跟随","让召唤兽跟随自己",529,0,0,false,true
3,"移动","让召唤兽移动到指定位置",527,0,0,false,true
4,"待命","让召唤兽在原地待命",528,0,0,false,true
5,"截击","让召唤兽在召唤者发动攻击或召唤者与召唤兽其中之一受到攻击后才开始进行战斗",531,0,0,false,true
6,"等待指示","让召唤兽在接到召唤者的指示前不进行战斗",532,0,0,false,true
7,"自主战斗","让召唤兽自主攻击",525,0,0,false,true
8,"协助战斗","让召唤兽进行攻击， 不过一部分技能会在得到命令后才会发动",526,0,0,false,true
9,"突风","对目标发动风属性魔法攻击　<color?>威力：</color>90",561,637,1,false,true
10,"吹飞","对目标发动风属性魔法攻击　<color?>威力：</color>80<br><color?>追加效果：</color>将目标击退15米<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",563,638,1,false,true
11,"下行突风","对目标及其周围的敌人发动风属性范围魔法攻击　<color?>威力：</color>80<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",562,639,1,false,true
12,"绿宝石之光","一定时间内，令目标受到的魔法伤害增加10%<br><color?>持续时间：</color>15秒<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",564,640,1,false,true
13,"利爪","对目标发动土属性魔法攻击　<color?>威力：</color>70<br><color?>追加效果：</color>提升仇恨",551,633,2,false,true
14,"黄宝石之光","对自身周围的敌人发动土属性范围魔法攻击　<color?>威力：</color>60<br><color?>追加效果：</color>提升仇恨<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",552,634,2,false,true
15,"硬化","一定时间内召唤兽所受到的伤害减轻20%　<color?>持续时间：</color>20秒<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",553,635,2,false,true
16,"冲撞","对目标发动土属性魔法攻击　<color?>威力：</color>60<br><color?>追加效果：</color>眩晕　<color?>持续时间：</color>2秒<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",554,636,2,false,true
17,"烈风刃","对目标发动风属性魔法攻击　<color?>威力：</color>110",2711,792,5,false,true
18,"震荡波","对目标发动风属性魔法攻击　<color?>威力：</color>90<br><color?>追加效果：</color>将目标击退15米<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",2713,793,5,false,true
19,"大气风斩","对目标及其周围的敌人发动风属性范围魔法攻击　<color?>威力：</color>90<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",2712,794,5,false,true
20,"歪风","一定时间内，令目标受到的魔法伤害增加10%<br><color?>持续时间：</color>15秒<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",2714,795,5,false,true
21,"大气爆发","对目标及其周围的敌人发动风属性范围魔法攻击　<color?>威力：</color>250<br>召唤者使用<color #FF7B1A>“内力迸发”</color>时发动",2715,796,5,true,true
22,"碎岩","对目标发动土属性魔法攻击　<color?>威力：</color>85<br><color?>追加效果：</color>提升仇恨",2701,787,4,false,true
23,"山崩","对自身周围的敌人发动土属性范围魔法攻击　<color?>威力：</color>70<br><color?>追加效果：</color>提升仇恨<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",2702,788,4,false,true
24,"大地之护","一定时间内召唤兽所受到的伤害减轻20%<br><color?>持续时间：</color>20秒<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",2703,789,4,false,true
25,"地裂","对目标发动土属性魔法攻击　<color?>威力：</color>70<br><color?>追加效果：</color>眩晕　<color?>持续时间：</color>2秒<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",2704,790,4,false,true
26,"大地之怒","对自身周围的敌人发动土属性范围魔法攻击　<color?>威力：</color>200<br><color?>追加效果：</color>生成范围伤害区域<br><color?>威力：</color>20　<color?>持续时间：</color>15秒<br>召唤者使用<color #FF7B1A>“内力迸发”</color>时发动",2705,791,4,true,true
27,"深红旋风","对目标发动火属性魔法攻击　<color?>威力：</color>110<br><color?>追加效果：</color>眩晕　<color?>持续时间：</color>2秒<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",2721,797,3,false,true
28,"燃火强袭","对目标发动火属性魔法攻击　<color?>威力：</color>135",2722,798,3,false,true
29,"辉煌盾","一定时间内，自身及周围队员受到攻击时会对攻击发动者造成反击伤害<br><color?>威力：</color>50　<color?>持续时间：</color>20秒<br><color?>追加效果：</color>目标受到的物理伤害增加2%<br><color?>持续时间：</color>4秒<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",2723,799,3,false,true
30,"烈焰碎击","对自身周围的敌人发动火属性范围魔法攻击　<color?>威力：</color>110<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",2724,800,3,false,true
31,"地狱之火炎","向目标所在方向发出扇形火属性范围攻击　<color?>威力：</color>200<br><color?>追加效果：</color>火属性持续伤害<br><color?>威力：</color>20　<color?>持续时间：</color>15秒<br>召唤者使用<color #FF7B1A>“内力迸发”</color>时发动",2725,801,3,true,true
32,"日光的拥抱","恢复目标的体力　<color?>恢复力：</color>250",2826,802,6,false,true
