Index,0 [INT] [0x4],1 [INT] [0x8],2 [UINT] [0x0],3 [UBYTE] [0xE],4 [USHORT] [0xC]
0,0,0,0,0,80
1,1,3285041,1179649,0,80
2,148,3670519,1179657,1,5
3,148,3785716,1179650,1,5
4,148,3726228,1179651,2,15
5,152,3678413,0,0,80
6,152,3789988,1179650,2,15
7,148,3788598,0,0,80
8,148,3678107,1179653,3,50
9,153,3683313,0,0,80
10,153,3792098,1179650,3,50
11,148,3787757,0,0,80
12,148,3678107,1179654,3,50
13,153,3683317,0,0,80
14,153,3792103,1179650,3,50
15,148,3787757,0,0,80
16,154,3683319,1179655,1,15
17,154,3792910,1179650,1,15
18,154,3684400,1179656,1,30
19,154,3792951,1179650,1,30
20,153,3791809,1179652,1,15
21,153,3679096,1179654,1,15
22,153,3791810,1179653,1,15
23,153,3683224,1179654,1,15
24,153,3683318,1179653,1,15
25,153,3792350,1179652,1,15
26,154,3684611,1179655,1,15
27,154,3793021,1179656,1,15
28,140,3684728,1179661,1,15
29,140,3796328,1179658,1,15
30,140,3685085,1179660,2,30
31,140,3796331,1179658,2,30
32,140,3685089,1179659,1,5
33,140,3796333,1179658,1,5
34,140,3685104,1179661,2,15
35,140,3796335,1179659,2,15
36,140,3685123,1179660,1,15
37,140,3796336,1179659,1,15
38,141,3686224,1179666,2,50
39,147,3687802,0,0,80
40,147,3799753,1179658,2,50
41,141,3799203,0,0,80
42,141,3686241,1179662,1,15
43,141,3799209,1179658,1,15
44,141,3686244,1179663,3,30
45,145,3686765,0,0,80
46,145,4011313,1179658,3,30
47,141,3799215,0,0,80
48,141,3686587,1179664,2,30
49,146,3687659,0,0,80
50,146,3799673,1179658,2,30
51,141,3799222,0,0,80
52,141,3686587,1179665,3,50
53,146,3687687,0,0,80
54,146,3799690,1179658,3,50
55,141,3799222,0,0,80
56,145,3686766,1179667,1,15
57,145,4011314,1179663,1,15
58,146,3687768,1179665,3,30
59,146,3799704,1179664,3,30
60,147,3687831,1179668,1,50
61,147,3799773,1179666,1,50
62,134,3688372,1179670,1,15
63,134,3799814,1179669,1,15
64,134,3688421,1179671,2,15
65,138,3688841,0,0,80
66,138,4002341,1179669,2,15
67,134,3799902,0,0,80
68,134,3688421,1179672,3,30
69,138,3689074,0,0,80
70,138,4002347,1179669,3,30
71,134,3799902,0,0,80
72,134,3688713,1179673,3,50
73,137,3689140,0,0,80
74,137,3800718,1179669,3,50
75,134,3800178,0,0,80
76,134,3688713,1179674,5,60
77,137,3689143,0,0,80
78,139,3748533,0,0,80
79,139,3816905,1179669,5,60
80,137,3800740,0,0,80
81,134,3800178,0,0,80
82,135,3688011,1179677,2,30
83,137,3689194,0,0,80
84,137,3800783,1179669,2,30
85,135,3800541,0,0,80
86,135,3687963,1179675,2,5
87,135,3800538,1179669,2,5
88,135,3687981,1179676,2,15
89,135,3800539,1179669,2,15
90,135,3688101,1179676,2,15
91,135,3800543,1179675,2,15
92,138,3689100,1179671,1,15
93,138,4002348,1179672,1,15
94,154,4295343,1179680,2,80
95,155,3694555,0,0,80
96,155,4291379,1179656,2,80
97,154,4295441,0,0,80
98,155,3694714,1179680,1,60
99,155,4284357,1179679,1,60
100,155,4291437,1179680,2,80
101,155,3694725,1179681,2,80
102,155,4291567,1179682,3,100
103,156,4573761,0,0,80
104,156,4573720,1179680,3,100
105,155,3694739,0,0,80
106,156,3689275,1179683,1,80
107,156,4285231,1179682,1,80
108,153,4297046,1179663,3,60
109,145,4297310,0,0,80
110,145,4300113,1179654,3,60
111,153,4297105,0,0,80
