Index,0 [STRING] [0x0],1 [INT] [0x4],2 [UBYTE] [0x8]
0,"更新部队信息",1,1
1,"",0,0
2,"阶级设置",1,2
3,"编辑队徽",1,3
4,"储物柜设置",0,0
5,"招待队员",2,1
6,"批准入队申请",2,4
7,"除名队员",2,2
8,"阶级任命",2,3
9,"编辑部队公告",3,1
10,"",0,0
11,"使用留言",3,2
12,"使用部队信用点",4,1
13,"使用部队特效",4,2
14,"放弃部队特效",4,3
15,"",5,0
16,"",5,0
17,"",5,0
18,"",5,0
19,"",5,0
20,"",5,0
21,"",5,0
22,"",5,0
23,"",5,0
24,"",5,0
25,"",5,0
26,"",5,0
27,"",5,0
28,"",5,0
29,"",5,0
30,"",5,0
31,"",5,0
32,"",5,0
33,"",5,0
34,"",5,0
35,"",5,0
36,"",5,0
37,"",5,0
38,"",5,0
39,"",5,0
40,"",5,0
41,"",5,0
42,"",5,0
43,"进入住房",6,1
44,"编辑住房名称",6,2
45,"编辑问候语",6,3
46,"购买或废弃土地",7,1
47,"搭建或拆除住房",7,2
48,"更改内外装潢",8,1
49,"不可变更家具庭具",8,3
50,"可以追加或布置家具庭具",8,4
51,"可以追加、收回或布置家具庭具",8,5
52,"为装潢、家具及庭具染色",8,2
53,"设置访客权限",6,4
54,"管理访客留言",0,5
55,"播种",9,1
56,"收获",9,2
57,"处理",9,3
