Index,0 [UBYTE] [0x6],1 [USHORT] [0x0],2 [USHORT] [0x2],3 [UBYTE] [0x7],4 [USHORT] [0x4]
0,0,0,0,0,0
1,3,30,0,16,1
2,1,2,0,1,10
3,3,20,0,4,15
4,3,30,0,7,20
5,14,54,0,1,10
6,3,23,0,16,1
7,15,42,0,10,5
8,14,42,0,1,10
9,15,42,0,10,5
10,3,23,0,16,1
11,3,23,0,16,1
12,14,42,0,1,10
13,15,52,0,10,5
14,15,52,0,10,5
15,14,54,0,1,10
16,15,52,0,10,5
17,14,54,0,1,10
18,3,32,0,16,1
19,3,43,0,16,1
20,14,69,0,1,10
21,5,43,0,16,1
22,14,69,0,1,10
23,5,43,0,16,1
24,6,116,0,16,1
25,14,69,0,1,10
26,15,62,0,10,5
27,14,90,0,1,10
28,15,81,0,10,5
29,5,57,0,16,1
30,14,90,0,1,10
31,15,81,0,10,5
32,3,75,0,16,1
33,14,112,0,1,10
34,3,32,0,16,1
35,14,69,0,1,10
36,15,62,0,10,5
37,15,126,0,10,5
38,14,138,0,1,10
39,14,138,0,1,10
40,3,94,0,16,1
41,3,116,0,16,1
42,14,165,0,1,10
43,5,116,0,16,1
44,14,165,0,1,10
45,15,153,0,10,5
46,5,43,0,16,1
47,14,69,0,1,10
48,5,43,0,16,1
49,15,62,0,10,5
50,15,62,0,10,5
51,5,43,0,16,1
52,14,69,0,1,10
53,5,43,0,16,1
54,14,69,0,1,10
55,15,62,0,10,5
56,15,62,0,10,5
57,14,42,0,1,10
58,15,42,0,10,5
59,14,69,0,1,10
60,5,43,0,16,1
61,12,119,0,13,1
62,3,57,0,16,1
63,14,90,0,1,10
64,15,81,0,10,5
65,3,57,0,16,1
66,14,90,0,1,10
67,15,81,0,10,5
68,3,57,0,16,1
69,14,90,0,1,10
70,3,57,0,16,1
71,14,90,0,1,10
72,5,57,0,16,1
73,15,81,0,10,5
74,2,75,0,16,1
75,15,98,0,10,5
76,15,98,0,10,5
77,6,75,0,16,1
78,15,182,0,10,5
79,2,141,0,16,1
80,15,81,0,10,5
81,14,90,0,1,10
82,5,57,0,16,1
83,14,112,0,1,10
84,14,90,0,4,10
85,14,90,0,4,10
86,14,90,0,1,10
87,14,90,0,1,10
88,5,75,0,16,1
89,15,98,0,10,5
90,15,98,0,10,5
91,5,75,0,16,1
92,14,42,0,1,10
93,14,42,0,1,10
