Index,0 [USHORT] [0x0],1 [USHORT] [0x2],2 [USHORT] [0x4],3 [USHORT] [0x6],4 [USHORT] [0x8]
0,0,0,0,0,0
1,0,0,4,9,14
2,0,0,104,109,114
3,0,0,204,209,214
4,0,0,304,309,314
5,0,0,404,409,414
6,0,0,504,509,514
7,0,0,604,609,614
8,0,0,704,709,714
9,0,0,804,809,814
10,0,0,904,909,914
11,0,0,1004,1009,1014
12,0,0,1104,1109,1114
13,0,0,1204,1209,1214
14,0,0,1304,1309,1314
15,0,0,1604,1609,1614
16,0,0,1704,1709,1714
17,0,0,1404,1409,1414
18,0,0,1504,1509,1514
19,0,0,1804,1809,1814
20,0,0,1904,1909,1914
21,0,0,0,0,0
22,0,0,2104,2109,2114
23,0,0,2204,2209,2214
24,0,0,0,0,0
25,0,0,2404,2409,2414
26,0,0,2504,2509,2514
27,0,0,0,0,0
28,0,0,2704,2709,2714
29,0,0,2804,2809,2814
30,0,0,0,0,0
31,0,0,3004,3009,3014
32,0,0,3104,3109,3114
33,0,0,0,0,0
34,0,0,3304,3309,3314
35,0,0,3404,3409,3414
36,0,0,0,0,0
