Index,0 [BBOOL] [0x3C],1 [FLOAT] [0x0],2 [FLOAT] [0x18],3 [FLOAT] [0x4],4 [FLOAT] [0x1C],5 [FLOAT] [0x8],6 [FLOAT] [0x20],7 [FLOAT] [0xC],8 [FLOAT] [0x24],9 [FLOAT] [0x10],10 [FLOAT] [0x28],11 [FLOAT] [0x14],12 [FLOAT] [0x2C],13 [UBYTE] [0x30],14 [UBYTE] [0x36],15 [UBYTE] [0x31],16 [UBYTE] [0x37],17 [UBYTE] [0x32],18 [UBYTE] [0x38],19 [UBYTE] [0x33],20 [UBYTE] [0x39],21 [UBYTE] [0x34],22 [UBYTE] [0x3A],23 [UBYTE] [0x35],24 [UBYTE] [0x3B]
0,false,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,100,100,100,100,100,100,100,100,100,100,100
1,false,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
2,false,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
3,false,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.1,0.82,100,100,100,100,100,100,100,100,100,100,100,100
4,false,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,100,100,100,100,100,100,100,100,100,100,100,100
5,false,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
6,false,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,100,100,100,100,100,100,100,100,100,100,100,100
7,false,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
8,false,0.6,0.5,0.63,0.56,0.25,0.25,0.54,0.47,0.66,0.62,0.64,0.46,80,80,80,80,100,100,80,80,80,80,80,80
9,false,0.8,0.72,0.84,0.8,0.5,0.5,0.72,0.68,0.88,0.88,0.86,0.66,100,100,100,100,100,100,100,100,100,100,100,100
10,false,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,100,100,100,100,100,100,100,100,100,100,100,100
11,false,1.45,1.3,1.5,1.45,0.87,0.87,1.3,1.23,1.6,1.6,1.56,1.19,100,100,100,100,100,100,100,100,100,100,100,100
