Index,0 [USHORT] [0x8],1 [USHORT] [0xA],2 [USHORT] [0xC],3 [USHORT] [0xE],4 [USHORT] [0x10],5 [USHORT] [0x12],6 [UINT] [0x0],7 [UBYTE] [0x14],8 [UBYTE] [0x16],9 [UINT] [0x4],10 [UBYTE] [0x15],11 [UBYTE] [0x17]
0,0,0,0,0,0,0,0,0,0,0,0,0
1,500,2500,42000,0,0,0,18030,1,3,0,0,0
2,500,1500,0,0,0,0,0,0,0,0,0,0
3,500,1500,0,0,0,0,0,0,0,0,0,0
4,125,375,2650,0,0,0,0,0,0,0,0,0
5,500,1500,0,0,0,0,0,0,0,0,0,0
6,500,900,0,0,0,0,0,0,0,0,0,0
7,500,1500,0,0,0,0,0,0,0,0,0,0
8,500,1500,0,0,0,0,0,0,0,0,0,0
9,500,1500,0,0,0,0,15110,2,3,0,0,0
10,100,300,0,0,0,0,0,0,0,0,0,0
