Index,0 [UBYTE] [0x12],1 [UBYTE] [0x13],2 [UBYTE] [0x14],3 [UBYTE] [0x15],4 [INT] [0x8],5 [SHORT] [0x10],6 [USHORT] [0xC],7 [UBYTE] [0x16],8 [UBYTE] [0x17],9 [UINT] [0x0],10 [UBYTE] [0x18],11 [UBYTE] [0x19],12 [UBYTE] [0x1A],13 [UINT] [0x4],14 [USHORT] [0xE]
30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30001,0,2,1,0,50,0,8241,0,19,0,0,0,0,0,0
30002,0,0,1,0,65536,3,3,0,18,0,18,1,0,196608,1
30003,0,0,1,0,0,0,785,0,1,0,18,2,0,327680,0
30004,0,0,1,0,0,0,785,0,1,0,18,2,0,327680,0
30005,0,0,1,0,0,0,785,0,1,0,18,2,0,327680,0
30006,0,0,1,0,0,0,854,0,1,0,18,2,0,327680,0
30007,0,0,1,0,0,0,808,0,1,0,18,2,0,327680,0
30008,0,0,1,0,0,0,799,0,1,0,18,2,0,655360,0
30009,0,0,1,0,0,0,786,0,1,0,18,2,0,655360,0
30010,0,0,1,0,0,0,786,0,1,0,18,2,0,327680,0
30011,0,0,1,0,0,0,796,0,1,0,18,2,0,327680,0
30012,0,0,1,0,0,0,796,0,1,0,18,2,0,327680,0
30013,0,0,1,0,0,0,787,0,1,0,18,2,0,327680,0
30014,0,0,1,0,0,0,786,0,1,0,18,2,0,327680,0
30015,0,0,1,0,0,0,785,0,1,0,18,2,0,327680,0
30016,0,0,1,0,0,0,796,0,1,0,18,2,0,327680,0
30017,0,0,1,0,0,0,784,0,1,0,18,2,0,327680,0
30018,0,0,1,0,0,0,855,0,1,0,18,2,0,327680,0
30019,0,0,1,0,0,0,808,0,1,0,18,2,0,327680,0
30020,0,0,1,0,0,0,855,0,1,0,18,2,0,327680,0
30021,0,0,1,0,0,0,787,0,1,0,18,2,0,327680,0
30022,0,0,1,0,0,0,787,0,1,0,18,2,0,262144,0
30023,0,0,1,0,0,0,0,0,25,0,0,0,0,0,0
30024,0,0,1,0,5898240,0,0,2,9,0,18,1,0,262144,0
30025,0,0,1,0,5898240,0,0,2,9,0,18,1,0,327680,0
30026,0,0,1,0,0,0,796,0,1,0,18,2,0,327680,0
30027,0,3,1,0,0,0,0,0,16,0,0,0,0,0,0
30028,0,11,1,0,0,0,0,0,16,0,0,0,0,0,0
30029,0,0,1,0,0,0,855,0,1,0,0,0,0,0,0
30030,0,0,1,0,0,0,703,2,21,0,18,2,0,196608,0
30031,0,0,1,0,0,0,784,0,1,0,18,2,0,262144,0
30032,0,0,1,0,0,0,5,0,16,0,0,0,0,0,0
30033,0,0,1,0,0,0,2,0,16,0,0,0,0,0,0
30034,0,0,1,0,0,0,809,0,1,0,18,2,0,262144,0
30035,0,0,1,0,65535,0,65530,0,16,0,0,0,0,0,0
30036,0,0,1,0,0,0,808,0,1,0,0,0,0,0,0
30037,0,0,1,0,0,0,646,0,21,0,0,0,0,0,0
30038,0,0,1,0,0,0,738,0,20,0,10,0,0,0,0
30039,0,0,1,0,0,0,855,0,1,0,0,0,0,0,0
30040,0,0,1,0,0,0,703,0,21,0,18,2,0,196608,0
30041,0,0,1,0,0,0,812,0,1,0,0,0,0,0,0
30042,0,0,1,0,5898240,0,0,2,9,0,18,1,0,262144,0
30043,0,0,1,0,0,0,763,2,21,0,18,1,0,262144,1
30044,0,0,1,0,0,0,734,2,21,0,18,1,0,262144,1
30045,0,0,1,0,65536,3,3,2,10,0,18,1,0,327680,0
30046,0,0,1,0,65536,5,3,0,18,0,18,1,0,327680,1
30047,0,0,1,0,2949120,0,0,2,9,0,18,1,0,327680,0
30048,0,0,1,0,65536,3,3,0,18,0,18,1,0,327680,1
30049,0,0,1,0,0,0,808,0,1,0,18,2,0,327680,0
30050,0,0,1,0,2949120,0,3,2,10,0,18,1,0,327680,0
30051,0,0,1,0,0,0,808,0,1,0,0,0,0,0,0
30052,0,0,1,0,0,0,784,0,1,0,0,0,0,0,0
30053,0,0,1,0,0,0,785,0,1,0,0,0,0,0,0
30054,0,0,1,0,0,0,786,0,1,0,0,0,0,0,0
30055,0,0,1,0,0,0,787,0,1,0,0,0,0,0,0
30056,0,0,1,0,0,0,785,0,1,0,0,0,0,0,0
