Index,0 [UINT] [0xFC],1 [UINT] [0x100],2 [STRING] [0xF8],3 [STRING] [0x0],4 [STRING] [0x8],5 [STRING] [0x10],6 [STRING] [0x18],7 [STRING] [0x20],8 [STRING] [0x28],9 [STRING] [0x30],10 [STRING] [0x38],11 [STRING] [0x40],12 [STRING] [0x48],13 [STRING] [0x50],14 [STRING] [0x58],15 [STRING] [0x60],16 [STRING] [0x68],17 [STRING] [0x70],18 [STRING] [0x78],19 [STRING] [0x80],20 [STRING] [0x88],21 [STRING] [0x90],22 [STRING] [0x98],23 [STRING] [0xA0],24 [STRING] [0xA8],25 [STRING] [0xB0],26 [STRING] [0xB8],27 [STRING] [0xC0],28 [STRING] [0xC8],29 [STRING] [0xD0],30 [STRING] [0xD8],31 [STRING] [0xE0],32 [STRING] [0xE8],33 [UINT] [0x4],34 [UINT] [0xC],35 [UINT] [0x14],36 [UINT] [0x1C],37 [UINT] [0x24],38 [UINT] [0x2C],39 [UINT] [0x34],40 [UINT] [0x3C],41 [UINT] [0x44],42 [UINT] [0x4C],43 [UINT] [0x54],44 [UINT] [0x5C],45 [UINT] [0x64],46 [UINT] [0x6C],47 [UINT] [0x74],48 [UINT] [0x7C],49 [UINT] [0x84],50 [UINT] [0x8C],51 [UINT] [0x94],52 [UINT] [0x9C],53 [UINT] [0xA4],54 [UINT] [0xAC],55 [UINT] [0xB4],56 [UINT] [0xBC],57 [UINT] [0xC4],58 [UINT] [0xCC],59 [UINT] [0xD4],60 [UINT] [0xDC],61 [UINT] [0xE4],62 [UINT] [0xEC],63 [BBOOL] [0x104],64 [STRING] [0xF0],65 [STRING] [0xF4],66 [BBOOL] [0x104],67 [BBOOL] [0x104],68 [BBOOL] [0x104],69 [BBOOL] [0x104],70 [BBOOL] [0x104],71 [BBOOL] [0x104],72 [BBOOL] [0x104],73 [BBOOL] [0x105],74 [BBOOL] [0x105]
720896,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720897,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"","",false,false,false,false,false,false,false,false,false
720898,0,60551,"CmnDefMogLetter_00002","HOWTO_MOGLETTER","DENINED_LETTERS","LETTER_BOX_USAGE","CLEAR_QUEST0","CLEAR_QUEST1","CLEAR_QUEST2","","","","","","","","","","","","","","","","","","","","","","","","",22,3902,3903,67017,67106,65898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,true,false,false,false,false,false,false,false
720899,0,0,"TstPlnTest_00003","","","","","","","","","","","","","","","","","","","","","RETAINER_SUCCESS_EMPLOY","RETAINER_SUCCESS_ASSIGN_MARKET","GRIDANIA","RETAINER_SUCCESS_DISMISS","REWARD_RETAINER","NPC_OF_GRIDANIA","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,396,2,395,3,1000233,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720900,0,0,"CmnRadEnterTotorak_00004","INSTANCE_CONTENT_ID","TERRITORY_TYPE","SCREENIMAGE0","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,169,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720901,0,0,"RegFstAdvGuild_00005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720902,0,0,"CmnDefLinkShell_00006","SUCCESS_LOG","HOWTO_LINKSHELL","INFO_ERROR_1","INFO_ERROR_2","","","","","","","","","","","","","","","","","","","","","","","","","","",485,17,364,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720903,0,0,"RegFstLncGuild_00007","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65975,66608,65964,66604,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720904,0,0,"RegFstArcGuild_00008","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65612,66626,65964,66622,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720905,0,0,"CmnDefRetainerDesk_00009","RETAINER_SUCCESS_EMPLOY","RETAINER_SUCCESS_ASSIGN_MARKET","LIMSA","GRIDANIA","ULDAH","RETAINER_SUCCESS_DISMISS","REWARD_RETAINER","NPC_OF_LIMSA","NPC_OF_GRIDANIA","NPC_OF_ULDAH","REGISTERING_CONTENT_FINDER","OTHER_WORLD","RETAINER_REMAKE_COMPLETE","ISHGARD","NPC_OF_ISHGARD","ITEM_RETAINER_JOB_SCROLL","ITEM_SCROLL_TRADE_COIN","NUM_SCROLL_TRADE_COIN","TOWN40","NPC_OF_TOWN40","","","","","","","","","","",394,396,1,2,3,395,3,1003275,1000233,1001963,25,40,406,4,1011198,14044,7796,40,7,1018983,0,0,0,0,0,0,0,0,0,0,false,"管理雇员","",false,false,false,false,false,false,false,false,false
