Index,0 [INT] [0x4],1 [BBOOL] [0xE],2 [INT] [0x8],3 [BBOOL] [0xE],4 [UINT] [0x0],5 [USHORT] [0xC]
3473408,0,false,0,false,0,0
3473409,65536,true,876937216,true,0,13630
3473410,65536,false,510918656,false,0,21072
3473411,65536,false,893517824,false,0,21076
3473412,65536,false,893452288,false,0,21075
3473413,65536,false,893648896,false,0,21078
3473414,65536,false,893583360,false,0,21077
3473415,65536,false,538836992,false,0,21073
3473416,65536,false,893386752,false,0,21074
3473417,65536,false,978976768,false,0,21079
3473418,65536,false,1010761728,false,0,21080
3473419,65536,false,510918656,false,0,21072
