Index,0 [BOOL] [0x0],1 [BOOL] [0x1],2 [BOOL] [0x2],3 [BOOL] [0x3],4 [BOOL] [0x4],5 [BOOL] [0x5],6 [BOOL] [0x6],7 [BOOL] [0x7],8 [BOOL] [0x8],9 [BOOL] [0x9],10 [BOOL] [0xA],11 [BOOL] [0xB]
0,false,true,true,true,true,true,true,true,true,true,true,true
1,true,false,true,true,true,true,true,true,true,true,true,true
2,true,true,false,true,true,true,true,true,true,true,true,true
3,true,true,true,false,true,true,true,true,true,true,true,true
4,true,true,true,true,false,true,false,false,false,false,false,false
5,true,true,true,true,true,false,true,true,true,true,true,true
6,true,true,true,true,false,true,false,true,true,false,false,false
7,true,true,true,true,false,true,true,false,true,false,false,false
8,true,true,true,true,false,true,true,true,false,false,false,false
9,true,true,true,true,false,true,false,false,false,false,true,true
10,true,true,true,true,false,true,false,false,false,true,false,true
11,true,true,true,true,false,true,false,false,false,true,true,false
